"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C0.N0",0.175324466826067,0.304931915326813,0.409454193539509,0.209230383119888,0.132410164530068,0.0737882659338952,0.0242427475547722
"Gly_C0.N1",0.175324466826067,0.304931915326813,0.409454193539509,0.209230383119888,0.132410164530068,0.0737882659338952,0.0242427475547722
"Gly_C1.N0",0.16205063425703,0.12937953244987,0.0713637312470327,0.0887743387350769,0.254795542548102,0.141990015020552,0.0951355693456455
"Gly_C1.N1",0.16205063425703,0.12937953244987,0.0713637312470327,0.0887743387350769,0.254795542548102,0.141990015020552,0.0951355693456455
"Gly_C2.N0",0.162624898916903,0.0656885522233177,0.0191820752134581,0.201995278145035,0.11279429292183,0.284221719045553,0.380621683099582
"Gly_C2.N1",0.162624898916903,0.0656885522233177,0.0191820752134581,0.201995278145035,0.11279429292183,0.284221719045553,0.380621683099582
"Asn_C0.N0",0.07081988099339,0.185070129088161,0.269768255253983,0.100488805005404,0.0445270239742582,0.0111531358957551,0.000997087744362427
"Asn_C0.N1",0.07081988099339,0.185070129088161,0.269768255253983,0.100488805005404,0.0445270239742582,0.0111531358957551,0.000997087744362427
"Asn_C0.N2",0.07081988099339,0.185070129088161,0.269768255253983,0.100488805005404,0.0445270239742582,0.0111531358957551,0.000997087744362427
"Asn_C1.N0",0.0654581008614817,0.0785233869213094,0.0470178827587671,0.0426363852209803,0.085682902606749,0.021461866759451,0.00390266102676202
"Asn_C1.N1",0.0654581008614817,0.0785233869213094,0.0470178827587671,0.0426363852209803,0.085682902606749,0.021461866759451,0.00390266102676202
"Asn_C1.N2",0.0654581008614817,0.0785233869213094,0.0470178827587671,0.0426363852209803,0.085682902606749,0.021461866759451,0.00390266102676202
"Asn_C2.N0",0.0656900670873441,0.0398678794463166,0.012638080264248,0.0467695388562493,0.0824576028237616,0.0429602649536897,0.0156401832161641
"Asn_C2.N1",0.0656900670873441,0.0398678794463166,0.012638080264248,0.0467695388562493,0.0824576028237616,0.0429602649536897,0.0156401832161641
"Asn_C2.N2",0.0656900670873441,0.0398678794463166,0.012638080264248,0.0467695388562493,0.0824576028237616,0.0429602649536897,0.0156401832161641
"Asn_C3.N0",0.065682540436575,0.0199142706950564,0.00312410522056945,0.0465942865253122,0.082598716112879,0.0859193445553257,0.062558662772071
"Asn_C3.N1",0.065682540436575,0.0199142706950564,0.00312410522056945,0.0465942865253122,0.082598716112879,0.0859193445553257,0.062558662772071
