"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C0.N0",105.74566462,106.27696014,106.54464976,106.28512758,52.33336936,26.17485211,6.41701472
"Gly_C0.N1",107.90373941,108.44587769,108.71903037,108.45421181,53.4013973,26.70903277,6.54797421
"Gly_C1.N0",97.62760544,45.27357321,18.68818534,43.64008619,102.80132197,49.76717397,24.30518629
"Gly_C1.N1",99.62000555,46.19752369,19.06957688,44.5307002,104.89930813,50.78283058,24.8012105
"Gly_C2.N0",101.01106292,23.45909408,5.10169739,105.133445,46.38314938,104.86592561,106.8602368
"Gly_C2.N1",103.07251318,23.9378511,5.20581366,107.27902551,47.32974427,107.00604654,109.04105796
"Asn_C0.N0",105.75646299,106.28790249,106.55563021,106.29058709,52.34410739,6.5443356,0.40150643
"Asn_C0.N1",105.72376492,106.25504011,106.52268505,106.25772388,52.3279235,6.54231221,0.40138229
"Asn_C0.N2",108.99357208,109.54127846,109.81720108,109.54404523,53.94631289,6.74465176,0.41379618
"Asn_C1.N0",97.66786489,45.28176698,18.69049247,44.74856224,101.75323508,12.45853806,1.52416055
"Asn_C1.N1",97.63766767,45.26776664,18.68471369,44.73472676,101.72177474,12.4546861,1.52368931
"Asn_C1.N2",100.65738935,46.66780066,19.26259143,46.11827501,104.86780901,12.83988258,1.57081372
"Asn_C2.N0",98.02240492,23.10997267,5.0641973,49.22307908,97.8105283,24.69436689,5.93545621
"Asn_C2.N1",97.99209809,23.10282747,5.06263153,49.20786015,97.78028698,24.68673182,5.93362107
"Asn_C2.N2",101.02278153,23.8173479,5.21920777,50.72975273,100.80441956,25.45023899,6.11713513
"Asn_C3.N0",97.90775628,11.59840139,1.26106387,46.72559226,100.13604217,48.68712887,22.62599544
"Asn_C3.N1",97.8774849,11.59481537,1.26067397,46.71114551,100.10508183,48.67207565,22.61899988
"Asn_C3.N2",100.90462361,11.95341791,1.29966388,48.15582012,103.20111529,50.17739758,23.31855657
"Asn_C4.N0",103.06112887,5.97888334,0.32335758,107.0915643,47.500129,107.00470055,109.04098736
"Asn_C4.N1",103.02926414,5.97703477,0.32325761,107.05845344,47.48544278,106.97161654,109.00727377
"Asn_C4.N2",106.21573623,6.16189151,0.33325526,110.36953963,48.95406472,110.28001705,112.37863275
"Arg_C0.N0",105.756354,106.28777927,106.55551525,105.75095881,52.88357219,6.54299312,0.40101443
"Arg_C0.N1",105.75634844,106.28777368,106.55550965,105.75095325,52.88356941,6.54299278,0.40101441
"Arg_C0.N2",105.7574605,106.28889133,106.55663012,105.75206526,52.8841255,6.54306158,0.40101863
"Arg_C0.N3",105.64625392,106.17712594,106.44458319,105.64086435,52.82851653,6.53618139,0.40059695
