"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C0.N0",0.171949596697705,0.300564766170018,0.404606665481852,0.206249693580655,0.128536384881538,0.0716518809656928,0.0230850553691794
"Gly_C0.N1",0.175458772143502,0.306698740978848,0.412863944379312,0.210458870988391,0.131159576394695,0.0731141642635561,0.0235561789694334
"Gly_C1.N0",0.158749083873039,0.128039425738366,0.0709689728330497,0.0846849847147812,0.252491105553897,0.136234260667896,0.0874373202720141
"Gly_C1.N1",0.161988861093279,0.130652475261123,0.0724173192266977,0.0864132497208412,0.257643985252562,0.139014551697465,0.0892217553796062
"Gly_C2.N0",0.164250814381051,0.0663453030405396,0.019373856631141,0.204014816654451,0.113922004519022,0.287063353312865,0.38442711929631
"Gly_C2.N1",0.167602871811425,0.0676992888111055,0.0197692414479478,0.20817838434088,0.116246943398286,0.292921789092525,0.392272570713457
"Asn_C0.N0",0.0694637417862763,0.1824383887794,0.266601942046064,0.09906233285033,0.0432332144336401,0.0108312505495489,0.000949609811631644
"Asn_C0.N1",0.0694422647982306,0.182381981986922,0.266519513331413,0.0990317044914445,0.0432198474736969,0.010827901723115,0.000949316205967555
"Asn_C0.N2",0.0715899637078909,0.188022661835463,0.274762384871555,0.1020945407062,0.0445565437901263,0.0111627852767843,0.0009786765122135
"Asn_C1.N0",0.0641509289902915,0.0777241098505323,0.0467635692311986,0.0417054518989447,0.0840423048721363,0.0206195946321809,0.00360481851506558
"Asn_C1.N1",0.0641310946290294,0.0777000788986353,0.0467491107369114,0.0416925572959283,0.0840163204453652,0.0206132194175805,0.00360370397717977
"Asn_C1.N2",0.0661145305450526,0.0801031741226584,0.0481949595151089,0.0429820178305657,0.0866147633454819,0.021250741672045,0.00371515873545936
"Asn_C2.N0",0.0643838005936009,0.0396672253368386,0.0126706100130383,0.0458756807845295,0.0807858564165597,0.0408705927226705,0.0140380502835931
"Asn_C2.N1",0.0643638942374884,0.0396549609234391,0.0126666924600946,0.0458614968125471,0.0807608788300173,0.0408579562441663,0.0140337099621948
"Asn_C2.N2",0.0663545301377455,0.040881403001468,0.0130584458529468,0.047279893619357,0.0832586379632999,0.0421216043759411,0.0144677422439402
"Asn_C3.N0",0.0643084962263789,0.0199081326513846,0.00315517890630028,0.0435480346831616,0.0827065967791954,0.0805799891022006,0.0535131336944139
"Asn_C3.N1",0.0642886131547974,0.0199019774098603,0.00315420337739581,0.043534570379348,0.0826810253235933,0.0805550751602265,0.0534965883742957
"Asn_C3.N2",0.0662769207792928,0.0205175024891699,0.00325175604266291,0.0448810003972296,0.085238170437801,0.0830464692417831,0.0551511220180447
"Asn_C4.N0",0.0676933725053263,0.0102624834783264,0.000809039922465073,0.0998088398850062,0.0392323675974058,0.17709891308699,0.257894727780718
"Asn_C4.N1",0.0676724428778196,0.0102593104913312,0.000808789797754686,0.0997779807174724,0.0392202376265239,0.177044157154013,0.257814991185094
"Asn_C4.N2",0.0697654050307791,0.0105766087445712,0.00083380389509186,0.102863897647936,0.0404332346651571,0.182519749640753,0.265788650700187
"Arg_C0.N0",0.0298962116777345,0.091747065929454,0.151103565525419,0.0379386137665327,0.0209959412376168,0.00547753444991597,0.0005391887748082
