"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C0.N0",110.57299418,110.57299418,110.57299418,110.57299418,55.28649709,27.64324855,6.91081214
"Gly_C0.N1",109.75917695,109.75917695,109.75917695,109.75917695,54.87958847,27.43979424,6.85994856
"Gly_C1.N0",98.74168381,44.04675223,16.69928645,44.04675223,104.06577348,52.03288674,26.68195458
"Gly_C1.N1",98.01494501,43.72256814,16.5763797,43.72256814,103.29984938,51.64992469,26.48557539
"Gly_C2.N0",99.3113614,22.82870384,4.87851098,103.99324754,44.97379456,103.65144099,105.90693242
"Gly_C2.N1",98.58042978,22.66068458,4.84260514,103.22785724,44.64278743,102.88856638,105.1274574
"Asn_C0.N0",113.39507782,113.39507782,113.39507782,113.39507782,56.69753891,7.08719236,0.44337475
"Asn_C0.N1",112.14319616,112.14319616,112.14319616,112.14319616,56.07159808,7.00894976,0.4384799
"Asn_C0.N2",112.14780309,112.14780309,112.14780309,112.14780309,56.07390154,7.00923769,0.43849791
"Asn_C1.N0",98.83514983,42.74427458,14.69883696,42.74427458,105.50845016,13.18855627,1.6978501
"Asn_C1.N1",97.74400977,42.27237779,14.5365618,42.27237779,104.34363687,13.04295461,1.67910583
"Asn_C1.N2",97.74802517,42.27411437,14.53715897,42.27411437,104.34792338,13.04349042,1.67917481
"Asn_C2.N0",99.69200159,22.45767092,4.64951917,50.20302236,99.33498002,26.28954822,6.75187599
"Asn_C2.N1",98.59140189,22.20973824,4.59818848,49.648781,98.23832184,25.99931161,6.67733528
"Asn_C2.N2",98.5954521,22.21065063,4.59837737,49.6508206,98.24235755,26.00037968,6.67760959
"Asn_C3.N0",99.66144054,11.31842296,1.16638629,49.81925988,99.67290094,52.29588821,26.78943349
"Asn_C3.N1",98.56117824,11.19346757,1.15350939,49.26925525,98.57251211,51.71854161,26.49367815
"Asn_C3.N2",98.56522721,11.1939274,1.15355677,49.27127927,98.57656154,51.72066624,26.49476653
"Asn_C4.N0",99.6621763,5.7205008,0.3030431,104.14088837,45.35237608,104.03225641,106.29785412
"Asn_C4.N1",98.56190588,5.65734647,0.2996975,102.99117296,44.85168585,102.8837403,105.12432581
"Asn_C4.N2",98.56595487,5.65757888,0.29970982,102.99540392,44.85352839,102.88796684,105.12864439
"Arg_C0.N0",116.71871255,116.71871255,116.71871255,116.71871255,58.35935627,7.29491953,0.45637017
"Arg_C0.N1",114.57108824,114.57108824,114.57108824,114.57108824,57.28554412,7.16069301,0.44797296
"Arg_C0.N2",114.58689475,114.58689475,114.58689475,114.58689475,57.29344738,7.16168092,0.44803476
"Arg_C0.N3",114.58683659,114.58683659,114.58683659,114.58683659,57.29341829,7.16167729,0.44803453
"Arg_C0.N4",114.58683669,114.58683669,114.58683669,114.58683669,57.29341835,7.16167729,0.44803453
"Arg_C1.N0",99.23424941,41.49933825,12.63188267,99.23424941,49.6171247,13.41900448,1.73784814
"Arg_C1.N1",97.40833922,40.73575042,12.39945602,97.40833922,48.70416961,13.1720948,1.70587173
"Arg_C1.N2",97.42177792,40.74137043,12.40116668,97.42177792,48.71088896,13.17391206,1.70610708
"Arg_C1.N3",97.42172847,40.74134975,12.40116039,97.42172847,48.71086423,13.17390537,1.70610621
"Arg_C1.N4",97.42172856,40.74134979,12.4011604,97.42172856,48.71086428,13.17390538,1.70610621
"Arg_C2.N0",100.45029382,22.18773499,4.47538594,43.33314621,107.34229452,12.49114149,1.55483982
"Arg_C2.N1",98.60200841,21.77948067,4.39303883,42.53581632,105.3671963,12.26130449,1.52623077
"Arg_C2.N2",98.6156118,21.78248542,4.39364491,42.54168467,105.38173303,12.26299609,1.52644133
"Arg_C2.N3",98.61556174,21.78247436,4.39364268,42.54166307,105.38167953,12.26298986,1.52644055
"Arg_C2.N4",98.61556183,21.78247439,4.39364268,42.54166311,105.38167963,12.26298987,1.52644056
"Arg_C3.N0",100.39824712,25.28702371,6.40015171,50.61494126,99.98242942,26.67883529,6.86695295
"Arg_C3.N1",98.55091937,24.82174248,6.28238891,49.68362634,98.14275272,26.18794472,6.74060102
"Arg_C3.N2",98.56451571,24.82516695,6.28325565,49.69048082,98.15629274,26.19155767,6.74153097
"Arg_C3.N3",98.56446567,24.82515434,6.28325246,49.69045559,98.15624291,26.19154438,6.74152755
"Arg_C3.N4",98.56446576,24.82515437,6.28325246,49.69045564,98.156243,26.1915444,6.74152755
"Arg_C4.N0",100.39977859,11.11764003,1.02662722,50.18487615,100.41479174,25.01371361,6.24264514
"Arg_C4.N1",98.55242267,10.91307545,1.00773728,49.26147443,98.56715958,24.55346128,6.12778047
"Arg_C4.N2",98.56601921,10.91458105,1.00787631,49.26827066,98.58075815,24.55684874,6.12862587
"Arg_C4.N3",98.56596917,10.91457551,1.0078758,49.26824565,98.58070811,24.55683627,6.12862276
"Arg_C4.N4",98.56596926,10.91457552,1.0078758,49.2682457,98.5807082,24.55683629,6.12862277
"Arg_C5.N0",100.39974582,12.62012487,1.59261519,105.50347222,45.09614652,52.75435067,27.01474636
"Arg_C5.N1",98.5523905,12.38791458,1.56331107,103.56220833,44.26637742,51.78367062,26.51767503
"Arg_C5.N2",98.56598703,12.38962364,1.56352675,103.57649603,44.27248452,51.79081482,26.52133347
"Arg_C5.N3",98.565937,12.38961735,1.56352595,103.57644345,44.27246205,51.79078853,26.52132001
"Arg_C5.N4",98.56593709,12.38961737,1.56352595,103.57644355,44.27246209,51.79078858,26.52132004
"Arg_C6.N0",100.39974635,5.70901252,0.28632269,100.17740059,50.42221893,104.80013382,107.08377261
"Arg_C6.N1",98.55239101,5.60396669,0.28105435,98.33413642,49.4944501,102.87181136,105.11343119
"Arg_C6.N2",98.56598755,5.60473983,0.28109313,98.34770284,49.50127848,102.88600381,105.1279329
"Arg_C6.N3",98.56593751,5.60473698,0.28109299,98.34765292,49.50125335,102.88595158,105.12787954
"Arg_C6.N4",98.56593761,5.60473699,0.28109299,98.34765301,49.5012534,102.88595168,105.12787963
