"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C0.N0",0.17979916077811,0.312714497062303,0.419904430380043,0.214570436030172,0.135789584267507,0.0756715165469349,0.024861479652669
"Gly_C0.N1",0.178475838966434,0.310412918384187,0.416813933799655,0.212991197634894,0.134790172923816,0.0751145741833099,0.0246784991528935
"Gly_C1.N0",0.160560650586657,0.124569819900235,0.0634160666132052,0.0854741331895084,0.255596734485132,0.142436495580788,0.0959876867502448
"Gly_C1.N1",0.1593789241867,0.123652986043905,0.0629493243563699,0.0848450435816779,0.253715542501668,0.141388162963476,0.0952812173603255
"Gly_C2.N0",0.161486984845359,0.064562479227872,0.018526299204894,0.201802226975305,0.110460477470533,0.283738784094116,0.380997629814956
"Gly_C2.N1",0.160298440636741,0.064087299381497,0.0183899456458327,0.200316962588443,0.109647488351344,0.281650466631375,0.378193487268911
"Asn_C0.N0",0.0744809932450155,0.194637534545258,0.283714224264386,0.10568368517136,0.0468288978404373,0.0117297096051354,0.00104863330044225
"Asn_C0.N1",0.0736587230790209,0.192488736162389,0.280582019226337,0.10451693728626,0.0463119068079208,0.0116002136171429,0.00103705640592882
"Asn_C0.N2",0.0736617490368386,0.192496643749864,0.280593545754616,0.104521230923595,0.0463138093330584,0.0116006901577975,0.00103709900169175
"Asn_C1.N0",0.064917633713727,0.0733686186395417,0.0367764563142224,0.0398374651213842,0.0871438959932363,0.0218278166162386,0.00401561467814575
"Asn_C1.N1",0.0642009430336674,0.072558629092101,0.0363704442366095,0.0393976595077146,0.0861818273812781,0.0215868375228158,0.00397128228051941
"Asn_C1.N2",0.0642035804583777,0.0725616098533142,0.0363719383545779,0.0393992779921984,0.0861853677913689,0.0215877243190793,0.00397144542631214
"Asn_C2.N0",0.0654804374206907,0.0385475788149825,0.0116330862845114,0.0467889833645779,0.0820449656328559,0.0435107092635487,0.0159689788459322
"Asn_C2.N1",0.0647575333899594,0.0381220135568062,0.0115046570160256,0.0462724329946212,0.0811391892117908,0.0430303510371665,0.0157926813216717
"Asn_C2.N2",0.0647601936788313,0.0381235796330729,0.0115051296183718,0.0462743338923359,0.0811425224755433,0.04303211875424,0.0157933300970038
"Asn_C3.N0",0.0654603640859184,0.0194275623089372,0.00291829581867088,0.0464313185179496,0.0823240688275456,0.0865526926724934,0.0633601531381677
"Asn_C3.N1",0.0647376816687493,0.0192130820201513,0.00288607784444602,0.0459187167606495,0.0814152111046977,0.0855971509550519,0.0626606570610736
"Asn_C3.N2",0.0647403411431552,0.0192138712975981,0.0028861963890972,0.0459206031378766,0.081418555700379,0.0856006673394891,0.0626632312074622
"Asn_C4.N0",0.0654608473532405,0.00981898150679512,0.000758213140182796,0.097058823641635,0.0374584475287838,0.172179347655844,0.251406895850033
"Asn_C4.N1",0.0647381596026329,0.00971057994895529,0.000749842456666835,0.095987294226399,0.0370449062696545,0.170278487658992,0.24863136371863
"Asn_C4.N2",0.0647408190901753,0.00971097887023365,0.000749873281278539,0.0959912374614424,0.0370464281014497,0.170285482824964,0.248641577666986
"Arg_C0.N0",0.0329951554226915,0.100750994037829,0.165515727536134,0.0418733428477521,0.023169947947861,0.00610701743113079,0.000613618000773692
"Arg_C0.N1",0.032388044563174,0.0988971757483269,0.162470238150774,0.0411028733396835,0.0227436209077516,0.00599464830985551,0.000602327431076122
"Arg_C0.N2",0.0323925128977088,0.0989108198466894,0.162492652945671,0.0411085439934972,0.0227467586757895,0.00599547534894286,0.000602410525009382
"Arg_C0.N3",0.032392496456487,0.0989107696432757,0.162492570470509,0.0411085231283457,0.0227467471264197,0.00599547231005077,0.000602410215760115
"Arg_C0.N4",0.032392496484756,0.0989107697295951,0.162492570612317,0.0411085231642212,0.0227467471502411,0.00599547231005077,0.000602410215760115
"Arg_C1.N0",0.0280524811403695,0.035822015932608,0.0179129396186622,0.0356007160891552,0.0196990897449721,0.0112338585683867,0.00233664461749347
"Arg_C1.N1",0.0275363154871447,0.0351628908340962,0.0175833415170977,0.0349456629128077,0.0193366264954433,0.0110271555727644,0.00229365035085216
"Arg_C1.N2",0.0275401144666356,0.0351677419979039,0.017585767358921,0.0349504841045449,0.0193392942251732,0.011028676910793,0.00229396679352518
"Arg_C1.N3",0.0275401004876394,0.035167724147034,0.0175857584392379,0.0349504663641436,0.0193392844068193,0.0110286713101903,0.00229396562375622
"Arg_C1.N4",0.0275401005130815,0.0351677241815617,0.0175857584534186,0.0349504663964315,0.0193392844266704,0.0110286713185619,0.00229396562375622
"Arg_C2.N0",0.0283962441363129,0.0191523390453163,0.00634642675266629,0.0155459535860267,0.0426172517243972,0.0104570884573076,0.002090578579822
"Arg_C2.N1",0.0278737532431554,0.0187999360101764,0.00622965248807432,0.0152599080401386,0.041833094292338,0.0102646780325529,0.00205211193756746
"Arg_C2.N2",0.0278775987787813,0.0188025296949655,0.00623051195413553,0.0152620133360773,0.0418388656938571,0.0102660941730112,0.00205239504854784
