"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C0.N0",0,0,0,0,0,0,0
"Gly_C0.N1",0,0,0,0,0,0,0
"Gly_C1.N0",0,0,0,0,0,0,0
"Gly_C1.N1",0,0,0,0,0,0,0
"Gly_C2.N0",0,0,0,0,0,0,0
"Gly_C2.N1",0,0,0,0,0,0,0
"Asn_C0.N0",0,0,0,0,0,0,0
"Asn_C0.N1",0,0,0,0,0,0,0
"Asn_C0.N2",0,0,0,0,0,0,0
"Asn_C1.N0",0,0,0,0,0,0,0
"Asn_C1.N1",0,0,0,0,0,0,0
"Asn_C1.N2",0,0,0,0,0,0,0
"Asn_C2.N0",0,0,0,0,0,0,0
"Asn_C2.N1",0,0,0,0,0,0,0
"Asn_C2.N2",0,0,0,0,0,0,0
"Asn_C3.N0",0,0,0,0,0,0,0
"Asn_C3.N1",0,0,0,0,0,0,0
"Asn_C3.N2",0,0,0,0,0,0,0
"Asn_C4.N0",0,0,0,0,0,0,0
"Asn_C4.N1",0,0,0,0,0,0,0
"Asn_C4.N2",0,0,0,0,0,0,0
"Arg_C0.N0",0,0,0,0,0,0,0
"Arg_C0.N1",0,0,0,0,0,0,0
"Arg_C0.N2",0,0,0,0,0,0,0
"Arg_C0.N3",0,0,0,0,0,0,0
"Arg_C0.N4",0,0,0,0,0,0,0
"Arg_C1.N0",0,0,0,0,0,0,0
"Arg_C1.N1",0,0,0,0,0,0,0
"Arg_C1.N2",0,0,0,0,0,0,0
"Arg_C1.N3",0,0,0,0,0,0,0
"Arg_C1.N4",0,0,0,0,0,0,0
"Arg_C2.N0",0,0,0,0,0,0,0
"Arg_C2.N1",0,0,0,0,0,0,0
"Arg_C2.N2",0,0,0,0,0,0,0
"Arg_C2.N3",0,0,0,0,0,0,0
"Arg_C2.N4",0,0,0,0,0,0,0
"Arg_C3.N0",0,0,0,0,0,0,0
"Arg_C3.N1",0,0,0,0,0,0,0
"Arg_C3.N2",0,0,0,0,0,0,0
"Arg_C3.N3",0,0,0,0,0,0,0
"Arg_C3.N4",0,0,0,0,0,0,0
"Arg_C4.N0",0,0,0,0,0,0,0
"Arg_C4.N1",0,0,0,0,0,0,0
"Arg_C4.N2",0,0,0,0,0,0,0
"Arg_C4.N3",0,0,0,0,0,0,0
"Arg_C4.N4",0,0,0,0,0,0,0
"Arg_C5.N0",0,0,0,0,0,0,0
"Arg_C5.N1",0,0,0,0,0,0,0
"Arg_C5.N2",0,0,0,0,0,0,0
"Arg_C5.N3",0,0,0,0,0,0,0
"Arg_C5.N4",0,0,0,0,0,0,0
"Arg_C6.N0",0,0,0,0,0,0,0
"Arg_C6.N1",0,0,0,0,0,0,0
"Arg_C6.N2",0,0,0,0,0,0,0
"Arg_C6.N3",0,0,0,0,0,0,0
"Arg_C6.N4",0,0,0,0,0,0,0
