"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C0.N0",0.176383272813028,0.308314751352604,0.415039344299275,0.211567788870568,0.131850662484524,0.0734994062889408,0.0236802976064779
"Gly_C0.N1",0.178658257064855,0.312291382425096,0.420392504792464,0.214296581572753,0.133551266948079,0.0744473986329513,0.0239857251033688
"Gly_C1.N0",0.157269645148126,0.123256764968296,0.0630405157362783,0.0813563992781334,0.253352109144621,0.136647853839783,0.0882105949712073
"Gly_C1.N1",0.15929810261165,0.124846525683118,0.0638536097285781,0.0824057307918366,0.256619834298668,0.138410332265986,0.0893483315986531
"Gly_C2.N0",0.163143253668621,0.0652246553018285,0.0187163116191809,0.203871983488409,0.111593399997447,0.286648911509645,0.384905279069492
"Gly_C2.N1",0.16524746869372,0.0660659202690577,0.0189577138242238,0.2065015159983,0.113032727126661,0.290346097462694,0.389869771650801
"Asn_C0.N0",0.0730921343905934,0.191967937339245,0.280527718145004,0.1042367882813,0.0454914727951053,0.0113970137556857,0.00099921204546047
"Asn_C0.N1",0.0722545315218299,0.189768071437066,0.277312997122623,0.103042281734885,0.0449701610517336,0.0112664091275486,0.000987761542816342
"Asn_C0.N2",0.0745008417538504,0.19566774237335,0.285934339050106,0.106245747687863,0.0463682316070174,0.011616668825764,0.00101846989498255
"Asn_C1.N0",0.0636123025281958,0.0726008295611976,0.0365465433917957,0.0389032092448768,0.0855097146646222,0.0209694270445889,0.00370891929598208
"Asn_C1.N1",0.0628833342531839,0.0717688568268455,0.036127736523268,0.0384573960264691,0.08452981193403,0.020729126872234,0.00366641674232281
"Asn_C1.N2",0.0648383047478939,0.0740000679929316,0.0372509062605914,0.0396529922059263,0.0871577465093804,0.0213735715694623,0.00378040141930251
"Asn_C2.N0",0.0641765227885193,0.0383532758487387,0.0116641995516903,0.0458996854897469,0.0803736140412758,0.0413929463907498,0.0143327856229963
"Asn_C2.N1",0.0634410888031834,0.037913764634969,0.0115305330765922,0.0453736958149769,0.0794525687050304,0.0409186018979064,0.0141685383714769
"Asn_C2.N2",0.0654133992454733,0.0390924599331551,0.0118890040953664,0.0467843118026928,0.0819226576301517,0.0421907141417999,0.0146090219128031
"Asn_C3.N0",0.0640872535747036,0.0194206491670948,0.0029471393235734,0.0433466355395762,0.082467768629429,0.0811672553769335,0.0541911382367833
"Asn_C3.N1",0.0633528425783261,0.019198097283567,0.00291336643283591,0.0428499026620557,0.0815227252246978,0.0802371152641221,0.053570132243868
"Asn_C3.N2",0.0653224095445549,0.0197949440382025,0.00300393965041238,0.0441820568225334,0.0840571729313336,0.0827315948525341,0.0552355660038879
"Asn_C4.N0",0.0674992100062894,0.0101247313659567,0.000781822866209766,0.100081104730254,0.0386248531518567,0.177540780723955,0.259235368103737
"Asn_C4.N1",0.0667256995268471,0.0100087065170621,0.000772863537694165,0.0989342204527264,0.0381822297692184,0.175506243518181,0.256264647782945
"Asn_C4.N2",0.0688001247365557,0.0103198656806182,0.000796890972237691,0.102009971504117,0.0393692713551181,0.180962530638535,0.264231620780635
"Arg_C0.N0",0.0323893491017541,0.0993981371076472,0.163704558530794,0.0411024319397154,0.02274685762143,0.00593432296982218,0.000584153402981136
"Arg_C0.N1",0.0317873635415342,0.0975507321833828,0.160661960172129,0.0403385057983938,0.0223240865485082,0.00582402817285057,0.000573296373863361
"Arg_C0.N2",0.0317921769805934,0.0975655039163653,0.160686288600657,0.0403446141037829,0.0223274670002097,0.00582491007942765,0.000573383192233437
"Arg_C0.N3",0.031758476410974,0.0974620818370546,0.160515956786738,0.0403018477182975,0.0223037992804869,0.00581873551950563,0.000572775382969186
