"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7"
"Gly_C0.N0",100,100,100,100,50,25,6.25
"Gly_C0.N1",100,100,100,100,50,25,6.25
"Gly_C1.N0",100,50,25,50,100,50,25
"Gly_C1.N1",100,50,25,50,100,50,25
"Gly_C2.N0",100,25,6.25,100,50,100,100
"Gly_C2.N1",100,25,6.25,100,50,100,100
"Asn_C0.N0",100,100,100,100,50,6.25,0.391
"Asn_C0.N1",100,100,100,100,50,6.25,0.391
"Asn_C0.N2",100,100,100,100,50,6.25,0.391
"Asn_C1.N0",100,50,25,50,100,12.5,1.56
"Asn_C1.N1",100,50,25,50,100,12.5,1.56
"Asn_C1.N2",100,50,25,50,100,12.5,1.56
"Asn_C2.N0",100,25,6.25,50,100,25,6.25
"Asn_C2.N1",100,25,6.25,50,100,25,6.25
"Asn_C2.N2",100,25,6.25,50,100,25,6.25
"Asn_C3.N0",100,12.5,1.56,50,100,50,25
"Asn_C3.N1",100,12.5,1.56,50,100,50,25
"Asn_C3.N2",100,12.5,1.56,50,100,50,25
"Asn_C4.N0",100,6.25,0.391,100,50,100,100
"Asn_C4.N1",100,6.25,0.391,100,50,100,100
"Asn_C4.N2",100,6.25,0.391,100,50,100,100
"Arg_C0.N0",100,100,100,100,50,6.25,0.391
"Arg_C0.N1",100,100,100,100,50,6.25,0.391
"Arg_C0.N2",100,100,100,100,50,6.25,0.391
"Arg_C0.N3",100,100,100,100,50,6.25,0.391
"Arg_C0.N4",100,100,100,100,50,6.25,0.391
"Arg_C1.N0",100,50,25,100,50,12.5,1.56
"Arg_C1.N1",100,50,25,100,50,12.5,1.56
"Arg_C1.N2",100,50,25,100,50,12.5,1.56
"Arg_C1.N3",100,50,25,100,50,12.5,1.56
"Arg_C1.N4",100,50,25,100,50,12.5,1.56
"Arg_C2.N0",100,25,6.25,50,100,12.5,1.56
"Arg_C2.N1",100,25,6.25,50,100,12.5,1.56
"Arg_C2.N2",100,25,6.25,50,100,12.5,1.56
"Arg_C2.N3",100,25,6.25,50,100,12.5,1.56
"Arg_C2.N4",100,25,6.25,50,100,12.5,1.56
"Arg_C3.N0",100,25,6.25,50,100,25,6.25
"Arg_C3.N1",100,25,6.25,50,100,25,6.25
"Arg_C3.N2",100,25,6.25,50,100,25,6.25
"Arg_C3.N3",100,25,6.25,50,100,25,6.25
"Arg_C3.N4",100,25,6.25,50,100,25,6.25
"Arg_C4.N0",100,12.5,1.56,50,100,25,6.25
"Arg_C4.N1",100,12.5,1.56,50,100,25,6.25
"Arg_C4.N2",100,12.5,1.56,50,100,25,6.25
"Arg_C4.N3",100,12.5,1.56,50,100,25,6.25
"Arg_C4.N4",100,12.5,1.56,50,100,25,6.25
"Arg_C5.N0",100,12.5,1.56,100,50,50,25
"Arg_C5.N1",100,12.5,1.56,100,50,50,25
"Arg_C5.N2",100,12.5,1.56,100,50,50,25
"Arg_C5.N3",100,12.5,1.56,100,50,50,25
"Arg_C5.N4",100,12.5,1.56,100,50,50,25
"Arg_C6.N0",100,6.25,0.391,100,50,100,100
"Arg_C6.N1",100,6.25,0.391,100,50,100,100
"Arg_C6.N2",100,6.25,0.391,100,50,100,100
"Arg_C6.N3",100,6.25,0.391,100,50,100,100
"Arg_C6.N4",100,6.25,0.391,100,50,100,100
