"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",1894784.10414701,4830244.25322245,169749.48374803,12048228.2803957,2946339.46129677,2891574.78729497,1006573.18207598,3647324.76219863,8904735.99269246,6845584.25022483,2606798.48248561,11391052.1923741,3691137.94281637,4446891.52894605,2628700.74457646,16538931.5485432,2332974.56691706,4786432.5077572,26834690.2608813,3417315.73090897,14019756.5444604,3406362.72291187,4731667.8337554,182498.78730487,2979198.26569785,1182916.95843885
"Ala_1.0",0,18061.73567341,1855.01541859,66352.26359792,16640.3645414,17414.14239635,3653.20470384,15717.50075546,65202.90370278,64285.90969606,7198.97200164,85495.23917769,10936.31405305,16906.60352437,15323.34377715,122289.46881563,9863.05706785,28319.52432818,299930.80869492,11517.13866364,120643.27182228,27227.20884835,24712.12826299,0,10042.45434022,5849.44402174
"Ala_1.1",43767.86161919,90335.04313337,0,343830.50767765,68921.33458024,65038.43790126,15611.05375059,66220.94059253,257206.74722098,180870.49742182,53828.78170689,318046.32365064,66286.9347579,88346.40126928,57068.09056355,480409.31766759,50833.67110872,122058.94330324,894949.37106446,80847.83943768,472661.85332037,82479.560131,128033.68794459,0,48688.02689888,36006.24318828
"Ala_2.1",0,3047.81206804,0,54632.52931144,3175.12743975,3470.95400387,613.19344439,3342.7894331,25125.2499889,11291.72282217,4722.74717302,36834.80538462,2406.5754809,4365.80815155,2062.67992403,53390.91896431,3137.66915718,5919.43223327,123345.58918142,76.96929896,58395.63338907,2407.50615025,15732.5177175,466.97884022,3378.80678942,1485.32176205
"Ala_2.2",0,2268.02174468,0,29539.76303748,1818.81428149,2287.35187721,0,0,15461.24097379,7861.67905604,3077.95081789,25706.68599333,0,4641.8527028,0,44734.68332233,0,3892.38386203,67428.00588991,458.8196358,27229.9389764,2652.35039963,6286.5715576,0,2535.97442697,1441.07341151
"Ala_3.2",0,0,0,232084.05425631,3704.94069628,9491.54510377,596.44255477,3635.64028546,150371.09077621,24197.14950805,11023.59053284,161954.51940339,2712.40587094,6115.07820588,3673.17779843,320150.07571125,3216.88396206,12747.70659084,562288.7266943,0,257432.36308732,6044.38999986,75728.98642245,0,4674.11074381,10974.0653865
"Asp_0.0",20930385.0722805,28665527.3816016,21499145.5362012,24342947.8558045,106244454.660381,60516113.3611589,14560267.8763691,24229195.7630204,24911708.3197252,90205409.5778178,48230887.3404726,14446515.7835849,17176566.0104041,28324271.1032492,18996599.4949503,35149396.6702972,88271624.0004875,56534790.1137143,44932076.6497327,31509329.701205,37310686.4331957,97940551.8871388,16039045.0825628,22522914.3712584,31623081.7939891,21271641.350633
"Asp_1.0",288957.37433931,420820.88704799,280921.27698683,2854763.88240384,11047987.890503,7125806.0714313,209471.04643869,367475.31175749,378307.37163567,12505403.4797671,5816058.48433969,1463488.80746249,236206.17057641,455218.08958335,258266.53801782,563538.68836508,8066819.04806049,6977304.98588719,5394009.22671343,494392.49306974,5005733.80669779,10193872.0394727,234078.0304359,348357.80855695,513260.65030039,312573.73912386
"Asp_1.1",765373.66132154,1169894.42670079,843295.19219036,8683664.92389516,31108946.5082414,21595295.656474,566064.9048729,1037590.23376173,980943.30832925,36535224.5961335,17837352.417325,4932211.21274396,644673.79862048,1175467.47086021,743869.93492562,1473514.12169482,23727985.640801,21243223.4981253,17428633.3335439,1411624.36042549,15899900.9046414,29750613.0975555,591207.62038857,917577.73393942,1379432.78762991,873552.70994626
"Asp_2.1",7772.12882001,11161.88625506,10993.74397216,8759537.80562609,15579448.017802,16359204.3928635,27840.56895322,32671.39247136,73860.63149119,28400215.2387338,13900915.0888689,4901876.27836411,25765.42588396,26146.2661095,27906.22293282,119603.15455717,12262123.1985461,16508575.2919272,16916792.1578224,6950.45451131,14861491.300214,15720218.3140312,46914.28918817,48874.90563981,53936.77339169,48929.19186459
