"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",-3.547e-05,0,-0.00011298,0,0,0,-1.38e-06,-6.3e-07,0,0,0,0,-2.7e-07,0,-1.25e-06,0,-2.1e-07,0,0,2e-08,0,0,0,-0.00207726,0,0
"Ala_1.0",-Inf,-9.28e-06,-0.00917159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00017002,0,0,0,-Inf,0,0
"Ala_1.1",-0.00235168,1.17e-06,Inf,0,0,0,-0.00164515,-0.00064203,0,0,0,0,-0.00027544,0,-0.00106384,0,-0.00018061,0,0,1.524e-05,0,0,0,Inf,0,0
"Ala_2.1",Inf,-0.00101341,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46893174,0,0,0,-0.00523484,0,0
"Ala_2.2",-Inf,-0.00094664,-Inf,0,0,0,Inf,Inf,0,0,0,0,Inf,0,Inf,0,Inf,0,0,-0.05468172,0,0,0,-Inf,0,0
"Ala_3.2",Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,Inf,0,0
"Asp_0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_1.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_0.0",6.9e-07,0,0,-6.7e-07,-3.1e-07,-5.9e-07,1.01e-06,-2e-08,-6e-08,-6e-07,-5.9e-07,-6.7e-07,0,-2e-08,-2e-08,-7e-08,-3.2e-07,-6.3e-07,-6.7e-07,0,-7.7e-07,-3.5e-07,-5e-08,-1e-08,-3e-08,-5e-08
"Glu_1.0",0,0,0,0.00025616,0.00010281,0.00018678,5.85e-06,3.235e-05,9.236e-05,0.0001741,0.00019473,0.00027611,0,3.68e-05,3.334e-05,9.716e-05,0.00010893,0.00019579,0.00024392,0,0.00025527,0.00011667,7.649e-05,1.754e-05,5.646e-05,8.491e-05
"Glu_1.1",-0.00011399,0,0,1.41e-05,8.42e-06,1.269e-05,-0.00012269,1.96e-06,5.26e-06,1.241e-05,1.319e-05,1.515e-05,0,2.3e-06,1.96e-06,5.86e-06,9.11e-06,1.299e-05,1.359e-05,0,1.367e-05,9.42e-06,4.49e-06,1.34e-06,3.22e-06,4.78e-06
"Glu_2.1",0,0,0,-0.00067401,-0.00061949,-0.00070026,-6.862e-05,-0.00025007,-0.00054604,-0.00068192,-0.00072462,-0.00074116,0,-0.00032482,-0.00027424,-0.00054343,-0.00064282,-0.00070107,-0.00064358,0,-0.00066492,-0.00065476,-0.00045433,-0.00018054,-0.0003897,-0.00050016
"Glu_2.2",-0.0619267,0,0,0.00069857,0.0008379,0.0009241,-0.02098182,0.00023175,0.00045649,0.00087948,0.00097377,0.0007311,0,0.00031361,0.00026514,0.00041888,0.00094004,0.00094127,0.00066308,0,0.00070825,0.0009796,0.00036773,0.00019408,0.00039063,0.00035494
"Glu_3.2",0,0,0,-0.00326648,-0.00480678,-0.00425206,-0.00037756,-0.00124726,-0.00201607,-0.00418431,-0.00432904,-0.00340802,0,-0.00146848,-0.00123021,-0.00200333,-0.00487325,-0.00417661,-0.00318783,0,-0.0034209,-0.00484286,-0.0016253,-0.0009777,-0.0017867,-0.00180376
"Glu_3.3",Inf,0,0,-0.05033421,-0.10308682,-0.09406422,Inf,-0.02063802,-0.04528656,-0.08879499,-0.1020862,-0.05868393,0,-0.03388258,-0.02934214,-0.04397321,-0.11974331,-0.09857858,-0.04549167,0,-0.05630429,-0.10910206,-0.04065514,-0.02479143,-0.0521769,-0.03590674
"Glu_4.3",0,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf
"Glu_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gly_0.0",-2.3e-07,-3.37e-06,-3.7e-05,0,0,0,-1.1e-06,0,0,0,0,0,-1.57e-06,0,0,0,0,0,0,0,0,0,0,-3.819e-05,0,0
"Gly_1.1",-7.733e-05,-0.00148907,-0.01301221,0,0,0,-0.0003273,0,0,0,0,0,-0.00057456,0,0,0,0,0,0,0,0,0,0,-0.0112956,0,0
"Gly_2.2",Inf,Inf,Inf,0,0,0,Inf,0,0,0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,Inf,0,0
"Orn_0.0",0,1.7e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1e-07,0,0,0,0,0,0
"Orn_1.1",0,-9.32e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.34e-06,0,0,0,0,0,0
"Orn_2.2",0,-0.00301052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00233201,0,0,0,0,0,0
"Orn_3.3",0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0,0
"Orn_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orn_5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pro_0.0",2e-07,0,2e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pro_1.1",-5.902e-05,0,-5.743e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-08,0,0,0,0,0,0
"Pro_2.2",-0.02936549,0,-0.03372038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.553e-05,0,0,0,0,0,0
"Pro_3.3",-Inf,0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13726195,0,0,0,0,0,0
"Pro_4.4",-0.00248914,0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0,0
"Pro_5.5",Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ser_0.0",-3.7e-07,8e-08,0,0,0,0,0,-1.91e-06,0,0,0,4e-08,0,0,-2.9e-07,0,0,3e-08,0,0,2e-08,1e-07,0,0,0,-1.6e-06
"Ser_1.1",-8.129e-05,-3.432e-05,-2.6e-07,0,0,0,0,-0.00035204,0,0,0,-1.58e-05,0,0,-5.391e-05,0,0,-1.57e-05,0,0,-9.77e-06,-4.453e-05,0,0,0,-0.00030208
"Ser_2.2",Inf,-0.08893662,-0.00037432,0,0,0,0,Inf,0,0,0,-0.00269579,0,0,Inf,0,0,-0.00495676,0,0,-0.00185907,-0.01846495,0,0,0,Inf
"Ser_3.3",Inf,Inf,Inf,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0,Inf,0,0,Inf,Inf,0,0,0,Inf
