"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",-67.21149771,0.00571884,-19.17810882,0,0,0,-1.39330427,-2.30652442,0,0,0,0,-0.99051522,0,-3.29364681,0,-0.49809441,0,0,0.06682843,0,0,0,-379.09826791,0,0
"Ala_1.0",1841.12177026,-0.16756488,-17.0134385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.95810447,0,0,0,5686.62841355,0,0
"Ala_1.1",-102.92809755,0.10541433,309.32830256,0,0,0,-25.68249822,-42.51570225,0,0,0,0,-18.25796844,0,-60.71113138,0,-9.18127441,0,0,1.23183497,0,0,0,3680.8389443,0,0
"Ala_2.1",652.62990097,-3.08868981,342.85427468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.09334724,0,0,0,-2.44456153,0,0
"Ala_2.2",1630.19528479,-2.14699633,786.42129915,0,0,0,523.08095065,865.92642824,0,0,0,0,371.86395995,0,1236.51663665,0,186.99698539,0,0,-25.08904714,0,0,0,845.48671511,0,0
"Ala_3.2",366.55364986,62.90800789,35.43386399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735.12094595,0,0,0,49.78890912,0,0
"Asp_0.0",0,0,0,0,0,-1e-08,0,0,1e-08,1e-08,1e-08,1e-08,0,0,1e-08,-1e-08,1e-08,1e-08,1e-08,1e-08,0,1e-08,0,0,1e-08,1e-08
"Asp_1.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_1.1",0,0,0,0,1e-08,1e-08,0,0,0,0,1e-08,0,0,0,0,0,0,0,0,0,0,1e-08,0,0,0,0
"Asp_2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_2.2",0,0,0,0,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-08,0,0,0,0,0,0,0
"Asp_3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_4.3",0,0,0,0,0,0,0,0,0,-1e-08,-1e-08,0,0,0,0,0,0,0,1e-08,0,0,0,0,0,0,0
"Glu_0.0",8.17813125,0,0,-28.42745072,-38.64928684,-43.37508843,9.16835437,-0.25949495,-0.7987534,-59.68913685,-35.90700731,-24.99538505,0,-0.32445768,-0.18053455,-1.2411305,-34.81944385,-44.51390541,-43.34500858,0,-39.37149199,-38.70299593,-0.40064137,-0.16587954,-0.62295337,-0.58330599
"Glu_1.0",0,0,0,832.93774977,1132.44238052,1270.91060329,0.90088132,7.60332485,23.40385249,1748.91993812,1052.09229427,732.37660248,0,9.50676355,5.2897476,36.36571084,1020.22617166,1304.27847932,1270.02924952,0,1153.60333436,1134.01608304,11.7389815,4.86034893,18.2528283,17.09114125
"Glu_1.1",-64.11739727,0,0,222.87416228,303.0144173,340.06519229,-71.88084925,2.03446735,6.26230954,467.96902435,281.51466156,195.96641141,0,2.54378189,1.41540957,9.73059192,272.98805151,348.99363552,339.82936316,0,308.67658097,303.43550234,3.14106987,1.30051279,4.88401902,4.57317944
"Glu_2.1",0,0,0,-6530.31835225,-8878.4657225,-9964.07095126,-7.06300302,-59.61085548,-183.48863102,-13711.71371639,-8248.51271223,-5741.90852703,0,-74.53401232,-41.47216987,-285.11094489,-7998.67900577,-10225.67856031,-9957.16104628,0,-9044.36979553,-8890.80371351,-92.03483253,-38.10563977,-143.10406708,-133.99632017
"Glu_2.2",-1229.60580134,0,0,4274.14983445,5811.03259459,6521.57060491,-1378.48872563,39.01582042,120.09489578,8974.43520356,5398.72290165,3758.12878582,0,48.78315562,27.14389382,186.60757902,5235.20458026,6692.79504737,6517.04801235,0,5919.61824509,5819.1079164,60.23759379,24.94047076,93.66284944,87.70175032
"Glu_3.2",0,0,0,-125234.6114011,-170266.00306738,-191085.10278431,-135.45012518,-1143.18198885,-3518.83723931,-262955.19548798,-158185.13408252,-110114.95064929,0,-1429.36952935,-795.32892541,-5467.69031219,-153393.96993774,-196102.05992054,-190952.58868343,0,-173447.61397748,-170502.61381523,-1764.98998443,-730.76758764,-2744.36578186,-2569.70275873
"Glu_3.3",14774.004662,0,0,-51354.92164331,-69820.9316755,-78358.21400253,16562.86822713,-468.78431453,-1442.96859054,-107829.96257109,-64866.93315098,-45154.80663919,0,-586.14115825,-326.14030729,-2242.13421842,-62902.22182651,-80415.51619509,-78303.87398269,0,-71125.61396069,-69917.95857789,-723.76894324,-299.66565778,-1125.38129924,-1053.75728279
"Glu_4.3",0,0,0,1504723.48996723,2045786.31651398,2295932.72598945,1627.46530525,13735.6021046,42279.66208486,3159468.89628164,1900631.81699228,1323057.18830304,0,17174.21312362,9556.06523572,65695.59290817,1843064.84607032,2356212.65313248,2294340.53771058,0,2084014.12445607,2048629.2506381,21206.77230847,8780.34548533,32974.20426213,30875.58670907
"Glu_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
