"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",1894342.00453445,4829149.87864168,169730.74621855,12044093.3690254,2945475.70742537,2890742.51068887,1006378.64313496,3646497.36278044,8901483.31563452,6843109.85217212,2606182.82507643,11386982.2291942,3690358.09626271,4445829.28003468,2627969.64814104,16532853.3638592,2332361.71848246,4784914.5213026,26822639.6493248,3416382.80599917,14013772.0344989,3405255.08376025,4730127.11529282,182498.61968502,2978605.62718406,1182494.46099094
"Ala_1.0",0,18213.08049795,1873.75294808,66488.98939184,16776.43491279,17555.60674859,3683.92342037,15842.55483116,65620.66234582,64822.54619675,7224.6386123,85999.69163828,11022.51813226,17033.46300611,15457.48993461,123012.9612588,9931.00898378,28546.49771424,301759.86282835,11632.68807573,121292.60895781,27478.29021816,24809.030911,0,10109.90088903,5894.50551512
"Ala_1.1",44209.9613146,91170.13989184,0,346191.17188607,69548.7624917,65615.25803582,15762.18747723,66853.92039878,259263.93257556,182426.82366513,54263.7836615,320391.89530404,66930.59354283,89100.78303491,57621.65963827,483870.31752762,51313.52548362,123154.66494555,901470.72200825,81654.33621361,476337.80839651,83235.24488734,129053.76307252,0,49094.56516418,36327.64313655
"Ala_2.1",0,3109.69500316,0,50958.02723047,3163.22839595,3345.78677129,613.77691019,3336.51347269,22535.9148394,11022.2339652,4591.41757999,34244.46165023,2399.90570416,4328.40650445,2029.92933923,47875.97243093,3135.316678,5776.86236313,114259.9946935,78.53210478,54275.05306845,2331.80008072,14491.0102866,370.2062073,3351.06653134,1289.28014341
"Ala_2.2",0,2314.07372527,0,27747.66565745,1817.56157142,2235.97496703,0,0,14225.43268931,7771.92863971,3026.83662147,24559.52315067,0,4673.08042864,0,42343.49007521,0,3840.03850348,63002.08252804,468.13726214,25129.70328836,2643.91154473,5633.74658665,0,2539.29418353,1357.23398834
"Ala_3.2",0,0,0,239188.18604486,3818.3496014,9782.08291643,608.45132226,3735.36529397,154973.97483958,24937.8284295,11361.024532,166911.97435148,2789.93794565,6302.26183744,3769.80210516,329949.92269939,3311.7373522,13137.91608846,579500.47864066,0,265312.41080905,6229.40981176,78047.0633408,0,4817.18610596,11309.98334313
"Asp_0.0",20919737.0955449,28649462.7314231,21487793.0822515,24228226.7622965,105821853.675087,60229458.580417,14552440.8813447,24215012.194714,24897994.4655138,89715957.3753776,47994835.6927247,14382942.036796,17167673.9383315,28307807.2358943,18986485.127571,35128848.0318019,87953008.4690849,56253168.1681256,44705061.5912953,31490079.3928504,37102663.3475228,97540346.1453003,16030719.4810117,22510139.369004,31603975.4152361,21259672.3033423
"Asp_1.0",291794.32649376,424955.1926476,283647.12010425,2794727.97055062,11001086.5098682,7031589.84761078,211303.96027101,370856.3749482,381380.30659022,12343238.556731,5733576.58519703,1428546.48661892,238330.4568175,459552.07372787,260592.22962379,568018.90464221,8023536.03564935,6880056.27148929,5276846.44776625,499314.11127689,4905507.39233325,10136895.7292869,235966.99208397,351380.22706979,517898.38371029,315236.22255707
"Asp_1.1",772846.88757249,1181223.83291808,851275.97671033,8495403.33365259,30937174.5164196,21289473.874607,570730.58908488,1046607.98457106,988428.08995983,36013542.840272,17585524.3941891,4826436.30751664,650313.19120243,1186072.95858141,750028.58812057,1484099.9720114,23584215.2795673,20940050.6910911,17074728.8876138,1425499.4033038,15583857.2224935,29557083.3000464,595543.13430753,924908.47208334,1391576.48099145,880480.50721279
"Asp_2.1",7834.25187839,11276.87582907,11143.90280964,8840776.78249485,15807637.9957501,16552771.7748057,28202.96053011,32854.74212182,74366.25953873,28727981.2947983,14067344.1394337,4945809.76993205,26054.61190223,26188.77319293,28159.67475734,120474.25850377,12445307.1864918,16707054.2484572,17076022.6982705,7002.31359084,15000491.0807272,15953865.1310532,47259.55940583,49435.07509779,54357.28793883,49085.48203662
"Asp_2.2",8674.19083037,17783.21669088,20647.84246121,9271692.08329907,16297479.3087294,17761836.6487321,37790.83280519,55537.58868441,81588.43284168,29891419.2516482,14432975.4808377,5241934.95679755,29619.50191945,49142.43135522,52812.00787509,152082.17470909,12877131.2186667,17376995.7960565,17749977.3886779,14761.33023619,16144731.4945357,16630427.7500742,56608.50058054,70648.53695413,60922.63820901,68277.49645217
"Asp_3.2",0,0,1889.37143151,4262745.13448262,3811517.13743307,6131242.9642315,7482.94486524,19835.32031129,41266.35788946,11182111.5840931,5114080.90297986,2448689.6430154,9260.87520842,19882.31258235,12620.76892816,64800.54268706,2810135.29125468,6008761.86609069,8199873.39775912,0,7259226.85820063,3628138.47509893,25290.99459117,16675.22349669,26879.33646907,35449.9027523
