"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",0.977194337787465,0.976778319028855,0.989080980060665,0.942810719308239,0.968715274753581,0.967037279521723,0.979875955543466,0.975973776813166,0.945146076177669,0.959212553890079,0.970049062866186,0.947408035224572,0.97796662722807,0.973411235317811,0.970859514240423,0.94151149428915,0.971795797909683,0.964822958965742,0.931903618581475,0.973268402770749,0.93699250818228,0.965434462399848,0.949412598811129,0.997975564148271,0.977066882620136,0.95464610815901
"Ala_1.0",0,0.00368390764424333,0.0109190199393348,0.00520475306807348,0.00551747506012684,0.00587286004468936,0.00358690837321348,0.00424021095716555,0.00696750298047494,0.00908630745819543,0.00268908759891124,0.0071552582804643,0.00292103221426758,0.00372946490342707,0.00571051160347582,0.00700533141029877,0.00413782850359936,0.00575607281387003,0.010484095219147,0.00331395173969238,0.00810989829230622,0.00779045554353662,0.0049795715711416,0,0.00331633340617223,0.00475872567285898
"Ala_1.1",0.0228056622125355,0.018440723155651,0,0.0270998187894718,0.0228733675840801,0.0219502084296517,0.0153470948743442,0.0178932456807299,0.0275282534246614,0.0255711369839169,0.0201975594275002,0.026656918393501,0.0177370014285992,0.0195085546067391,0.0212873601967626,0.0275554047248414,0.0213801607382574,0.0248327211937013,0.0313199535492358,0.0232619088371402,0.0318490237127264,0.023598283219298,0.0259031661514771,0,0.0161044058000741,0.0293278694175317
"Ala_2.1",0,0.000628989104544716,0,0.00398899052304306,0.00104033031301742,0.00111926279328041,0.000597613274551861,0.000893007544326405,0.00239282945642579,0.00154500883658583,0.00170897462673825,0.00284917263207702,0.000635989144126592,0.000947701600098656,0.000749923506012065,0.0027264367107088,0.00130635293344593,0.00116483782811978,0.00396975480064854,2.23724390753986e-05,0.00362895286016774,0.000661095895015286,0.00290857886062286,0.00202443585172899,0.00109924459261982,0.00104085584485666
"Ala_2.2",0,0.000468061066705564,0,0.00217208517204826,0.000597764107373575,0.000747998530204647,0,0,0.00151043499285293,0.00108940696265183,0.00112662089545461,0.00204337629636181,0,0.00102316771658548,0,0.00241137338708138,0,0.000774299581523423,0.00218889227360318,0.000133364213342953,0.00168022882462131,0.000749583587142182,0.00113078356194315,0,0.000832960305088346,0.00109571603721858
"Ala_3.2",0,0,0,0.0187236331391239,0.00125578818182093,0.00327239068045052,0.000592427934424329,0.000999759004611745,0.0164549029679156,0.00349558586857121,0.00422869458520937,0.0138872391730236,0.000739349984936721,0.00137987585533894,0.00139269045332663,0.0187899594779191,0.00137985991501459,0.00264910961704304,0.0201336855758908,0,0.0177393881278981,0.00176611935515967,0.0156653010436863,0,0.00158017327590999,0.00913072486852436
"Asp_0.0",0.945200763442665,0.939158942013101,0.94183929058591,0.243123352797313,0.466138786094591,0.31996698164279,0.93128050094146,0.928444801249967,0.916873991945058,0.296674560455344,0.309475879959203,0.248759100275775,0.936026361901218,0.93080848335469,0.933429573496228,0.912201500822972,0.482500508898372,0.303741313105076,0.241102971310534,0.935304345716166,0.229570618916381,0.443047328799317,0.92054361885942,0.924855777792593,0.924550639957277,0.918763995080356
"Asp_1.0",0.0131839238184727,0.0139304695823198,0.0124326403066671,0.0280442989502667,0.048459112492742,0.0373550855796939,0.0135223540556942,0.0142192649155976,0.0140444116748818,0.0408168733917857,0.0369707205662193,0.0247073191148454,0.0129943981477331,0.0151108478733298,0.0128114546805159,0.0147499199757809,0.0440162342113176,0.0371491490024748,0.0284590449586497,0.0148304058661952,0.0303525479453759,0.0460437629418251,0.0135501035422424,0.0144368734409106,0.0151507294826381,0.0136233375142401
"Asp_1.1",0.0349189602537296,0.0387217357478487,0.0373125876132866,0.0852489520635191,0.136276359499034,0.113099616981048,0.0365237882248981,0.0401287323090354,0.0363990766343596,0.119090319104255,0.113393359053851,0.0834752688514366,0.0354567714091117,0.0390000808796413,0.0368735371721183,0.0385380761878256,0.129380405200805,0.113066671629756,0.0920872877161428,0.0423395498656175,0.0964242300926685,0.134254053022093,0.0341983048665847,0.0380009617138788,0.0407095281256891,0.0380510939611248
"Asp_2.1",0.000353969116468167,0.000369667622465618,0.00048845246584485,0.0887146762237524,0.0696316774887154,0.0879360457065205,0.00180484273563915,0.00125970675852358,0.00273855347440694,0.0949982753652552,0.0907077531031135,0.0855398836591228,0.00142056539966898,0.000861131067252764,0.00138440964833279,0.00312839177983249,0.0682735833077222,0.0902104318885196,0.0920942654851588,0.000207979606843004,0.0928146852746653,0.0724655756276322,0.00271381991885488,0.0020310987009151,0.00159018176320815,0.0021212920374751
"Asp_2.2",0.000391919447059358,0.000582952187605194,0.000905023108764875,0.0930387884970542,0.071789398479998,0.0943591623580513,0.00241841667612811,0.00212940572044211,0.00300451155693309,0.098845555766236,0.0930653834499724,0.0906614947220891,0.00161493250178093,0.00161588609166849,0.00259638841286846,0.00394916417106711,0.0706425223458012,0.0938278090425189,0.0957290323907825,0.000438434471575025,0.0998946077461797,0.0755386553630292,0.00325067094114776,0.00290267894496434,0.00178224617010907,0.00295069954604231
"Asp_3.2",0,0,8.2813727863774e-05,0.0427754329437196,0.0167894996158063,0.0325720229140762,0.000478869538068456,0.000760519956631084,0.00151964248942015,0.0369772350006033,0.0329761455537634,0.0423511289201311,0.000504927071686979,0.000653763997548164,0.000620472872079928,0.00168269543708824,0.015416092430542,0.0324445587471151,0.044223489918083,0,0.0449160532515465,0.016479714532816,0.00145230310548984,0.00068512133772626,0.000786334864762771,0.00153201299686979
"Asp_3.3",0.00118050577020716,0.00230221097285472,0.00178577308264465,0.039056626123142,0.016099702855136,0.0319769346579301,0.00261702502218262,0.00241038577115685,0.00470944229912643,0.0344744163881965,0.0325033611140354,0.0428060259092159,0.00312390359297673,0.0020059457422657,0.00232972876076272,0.00313098815335057,0.0145090680495971,0.0319164619258436,0.042229438254746,0.0019166869713797,0.0437610264951181,0.0157233728637542,0.00487000006057069,0.0035719062060708,0.00206728407459268,0.00449331067889448
"Asp_4.3",0.00476995815139806,0.00493402187380513,0.00515341910901863,0.379997872401233,0.174815463473977,0.28273415015989,0.011354202805929,0.0106471833186467,0.0207103699258141,0.278122764528325,0.290907397199842,0.381699778547384,0.00885813997582327,0.00994386099360329,0.00995443495709426,0.0226192634720834,0.175261585555843,0.297643604658696,0.364074469965904,0.00496259750222385,0.362266230278065,0.196447536849533,0.01942117870569,0.0135155818629412,0.0133630555617235,0.0184642581849977
"Glu_0.0",0.75775324742115,0.757016938119908,0.750438895939337,0.191802793947459,0.427222921540953,0.271536909938268,0.660141535720479,0.612208108245674,0.472245116602596,0.268095974188713,0.275213252054209,0.194509085424528,0.676937606444245,0.622033662393115,0.617655668322015,0.4573062797917,0.429310828727752,0.255450862514749,0.195248362091864,0.754576978377682,0.183158994383398,0.411198503503154,0.478792998288978,0.629156993591713,0.571900411790605,0.487416188511141
