"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",-67.21149718,0.00571884,-19.17810882,0,0,0,-1.40777154,-2.39534004,0,0,0,0,-1.05685032,0,-3.38328211,0,-0.57683725,0,1e-08,0.06682845,0,0,0,-379.21750466,0,0
"Ala_1.0",1841.12177028,-0.16756479,-17.0134385,0,0,0,0.01421501,0.02418702,0,0,0,0,0.01067158,0,0.03416279,0,0.00582463,0,0,-1.95810523,0,0,0,5689.97051709,0,0
"Ala_1.1",-102.92802242,0.10541419,309.32830256,0,0,0,-25.94914946,-44.15278705,0,0,0,0,-19.48069427,0,-62.36331024,0,-10.63271682,0,0,1.23183445,0,0,0,3684.17926294,0,0
"Ala_2.1",652.62990354,-3.08868565,342.85427468,0,0,0,0.26202229,0.44583405,0,0,0,0,0.19670688,0,0.62971534,0,0.10736417,0,0,-36.09333184,0,0,0,-97.24556634,0,0
"Ala_2.2",1630.19445311,-2.14699436,786.42129915,0,0,0,528.51211875,899.26966831,0,0,0,0,396.76764823,0,1270.16745859,0,216.55891653,0,0,-25.08904712,0,0,0,845.65040212,0,0
"Ala_3.2",366.55362148,62.90794999,35.43386399,0,0,0,-5.33666649,-9.08040164,0,0,0,0,-4.00637287,0,-12.82555286,0,-2.18670996,0,0,735.12094524,0,0,0,45.14321577,0,0
"Asp_0.0",0.09971917,0.10357744,0,0,1e-08,-1e-08,0,1e-08,0,3e-08,1e-08,0,0,0,1e-08,0,3e-08,-1e-08,-1e-08,0.06097296,0,1e-08,0,0,1e-08,0
"Asp_1.0",-2.92181854,-3.03486779,0,0,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.78653653,0,0,0,0,0,0
"Asp_1.1",1.88842403,1.9614898,0,0,-1e-08,-1e-08,0,0,0,0,0,0,0,0,0,0,0,-1e-08,1e-08,1.15467079,0,0,0,0,0,0
"Asp_2.1",-55.33171709,-57.47257861,0,0,0,0,0,0,0,0,-1e-08,0,0,0,0,0,0,-1e-08,0,-33.83240008,0,-1e-08,0,0,0,0
"Asp_2.2",-22.84633343,-23.73029002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.96931694,0,0,0,0,0,0
"Asp_3.2",669.40837344,695.30871968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.30759238,0,0,0,0,0,0
"Asp_3.3",0.69057603,0.71729539,0,0,0,0,0,0,0,-1e-08,0,0,0,0,0,0,0,0,0,0.42225049,0,0,0,0,0,0
"Asp_4.3",-20.23420438,-21.01709405,0,0,0,0,0,0,0,1e-08,1e-08,0,0,0,0,0,0,0,1e-08,-12.37213905,0,1e-08,0,0,0,0
"Glu_0.0",10.13894189,0.24633666,-1.57037933,-88.59544353,-73.18236127,-97.40260302,12.11916477,-4.21193883,-5.51274748,-131.92191961,-81.00811777,-78.96707875,-1.44136613,-2.07293008,-1.24781973,-9.66647696,-65.89678609,-103.3809161,-127.8161891,-1.10685314,-112.21899797,-73.98795119,-2.55515521,-0.37124935,-1.45437615,-6.04014984
"Glu_1.0",41.22984461,39.5799386,46.01285703,2595.8883927,2144.27779262,2853.94233018,61.77255976,123.41179965,219.75236217,3865.37463134,2373.57615907,2313.77275151,62.00456212,130.20455393,87.01562175,316.38962621,1930.80699558,3029.10973088,3745.07478536,69.55818297,3288.06970936,2167.88195787,130.41104958,114.71767613,191.9588569,178.37919395
"Glu_1.1",-79.9810514,13.85541464,12.38793864,698.88522932,577.29911695,768.36051406,-95.60204123,33.22588296,43.48731306,1040.66617163,639.03260358,622.93186586,11.37021788,16.35231066,9.84342699,76.25401149,519.82685144,815.52044179,1008.27811301,8.73141188,885.23965795,583.6540136,20.156344,2.92860073,11.47284748,47.64772696
"Glu_2.1",-325.24166313,-775.13404779,-362.97246055,-20477.66772274,-16915.1371322,-22513.32642098,-487.29288854,-973.53408315,-1733.51668989,-30492.01096124,-18723.95748472,-18252.198255,-489.12303933,-1027.11873083,-686.42280378,-2495.83982682,-15231.17257409,-23895.13460559,-29543.02552726,-548.70978361,-25937.94060902,-17101.33860924,-1028.747672,-904.95048258,-1514.26760068,-1407.14441829
"Glu_2.2",-1522.75523359,-83.82944539,235.85334367,13306.04089251,10991.16898618,14628.77736078,-1820.16247677,632.58592219,827.95277618,19813.19114259,12166.50974782,11859.96860811,216.47700904,311.33082407,187.40851374,1451.7963072,9896.95740041,15526.65286393,19196.55651593,166.23691363,16854.03352979,11112.15954532,383.75562434,55.75748273,218.43096883,907.16268825
"Glu_3.2",-6192.25974174,-4572.24960117,-6910.61450484,-389873.29059692,-322046.44903511,-428630.09464134,-9277.54490941,-18535.06667096,-33004.33747347,-580535.87016524,-356484.48917144,-347502.68881448,-9312.38905881,-19555.26209552,-13068.76939661,-47518.16951327,-289985.53211783,-454938.27149027,-562468.18399686,-10446.8581,-493831.15272041,-325591.52963468,-19586.27542485,-17229.30693327,-28830.06504037,-26790.55213374
"Glu_3.3",18396.55123125,-612.15060948,-2849.36674268,-160751.54927365,-132785.36095973,-176731.65472148,21989.55650548,-7642.33086777,-10002.57646674,-239365.05215607,-146984.76481576,-143281.41206636,-2615.27939577,-3761.21738321,-2264.10013125,-17539.28967288,-119566.08641621,-187578.97432257,-231915.43041124,-2008.32401081,-203615.18676454,-134247.05944594,-4636.18830379,-673.61146747,-2638.88537037,-10959.51897017
"Glu_4.3",74809.28061407,102848.18456801,83487.79303031,4710096.41336307,3890673.87051355,5178321.06000017,112082.90502721,223923.90849512,398728.54927104,7013509.2242598,4306723.11841422,4198213.13153595,112503.8605199,236248.98673481,157885.04969853,574071.53860516,3503342.87497398,5496152.65402551,6795231.78419902,126209.48922251,5966021.26212376,3933502.32739897,236623.66172479,208148.90054889,348298.7658266,323659.21585438
"Glu_4.4",-740.80367867,24.73251818,114.74005852,6473.2425962,5347.08286545,7116.73934471,-885.48903252,307.74609595,402.78992239,9638.89964768,5918.87322328,5769.7443292,105.31368476,151.45902287,91.17218141,706.28294116,4814.76095967,7553.54590498,9338.91368162,80.87243073,8199.30200457,5405.9434422,186.69289191,27.1254023,106.26426472,441.32467371
"Glu_5.4",-3012.46628135,-4143.95855674,-3361.93797539,-189669.06927459,-156672.05660114,-208523.82831672,-4513.42359316,-9017.10614503,-16056.2473029,-282424.31792696,-173425.78448618,-169056.23736611,-4530.37488873,-9513.42000218,-6357.81262221,-23117.06701276,-141074.77302606,-221322.4670991,-273634.58725759,-5082.28160395,-240243.42619595,-158396.6993352,-9528.50764591,-8381.86838928,-14025.50965972,-13033.3090548
"Gly_0.0",-0.41073381,-14.8759084,-8.06303003,0,0,0,-1.48824001,0,0,0,0,0,-5.31175343,0,0,0,0,0,-1e-08,0,-1e-08,0,0,-6.98419338,0,0
"Gly_1.1",-4.29371505,-155.50926288,-84.28902781,0,0,0,-15.55771251,0,0,0,0,0,-55.52782651,0,0,0,0,0,0,0,0,0,0,-73.01112204,0,0
"Gly_2.2",87.18308577,3157.58667124,1711.47303899,0,0,0,315.89646015,0,0,0,0,0,1127.4821937,0,0,0,0,0,0,0,0,0,0,1482.47725921,0,0
"Orn_0.0",2e-08,18.25561218,1e-08,0,0,0,0,0.01693407,3e-08,0,0,0,-1e-08,1e-08,1e-08,3e-08,0,0,0,11.69567263,0,0,0,0,0,1e-08
"Orn_1.1",0,-112.88052586,0,0,0,0,0,0.89823623,0,0,0,0,0,0,0,-1e-08,0,0,0,-72.3182363,0,0,0,0,0,0
"Orn_2.2",0,-2228.20812252,0,0,0,0,0,-5.56403492,0,0,0,0,0,0,0,0,0,0,0,-1427.52773593,0,0,0,0,0,0
"Orn_3.3",0,22766.22577513,0,0,0,0,0,-109.5973301,0,0,0,0,0,0,0,0,0,0,0,14585.45025844,0,0,0,0,0,0
"Orn_4.4",0,-918.48523793,0,0,0,0,0,1121.46225858,0,0,0,0,0,0,0,0,0,0,0,-588.43836845,0,0,0,0,0,0
"Orn_5.5",0,23.13653926,0,0,0,0,0,-56.35922925,0,0,0,0,0,0,0,0,0,0,0,14.82269594,0,0,0,0,0,0
"Pro_0.0",1.06247343,0,0.31741129,-1e-08,0,0,0,0,1e-08,1e-08,0,0,0,0,0,0,0,0,0,0.00169336,1e-08,0,0,0,0,0.02353332
"Pro_1.1",-18.22426264,0,-5.31676957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02745629,0,0,0,0,0,0.38157031
"Pro_2.2",-192.0262424,0,-57.74348798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47148796,0,0,0,0,0,-6.5524446
"Pro_3.3",3885.62616888,0,1135.64761322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.9605713,0,0,0,0,0,-68.93891489
"Pro_4.4",-161.76775661,0,180.78245266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.52065853,0,0,0,0,0,1396.97319135
"Pro_5.5",101.95614036,0,-10.27243507,0,0,0,0,0,0,0,0,1e-08,0,0,0,0,0,0,1e-08,-5.06408621,1e-08,0,0,0,0,-70.37750023
"Ser_0.0",-2.32307185,1.00945655,0.0049282,0,0,0,0,-16.78021289,0,0,0,0.31723365,0,0,-2.05935667,0,0,0.4326786,0,0,0.21682718,0.60258527,0,0,0,-4.82628187
"Ser_1.1",-17.56356163,-17.95897645,-0.08767628,0,0,0,0,-123.49324195,0,0,0,-5.64382068,0,0,-15.15574522,0,0,-7.69767134,0,0,-3.85751548,-10.72043635,0,0,0,-38.91918498
"Ser_2.2",345.12910713,-132.93797946,-0.64900737,0,0,0,0,2490.72107109,0,0,0,-41.77733175,0,0,305.67449184,0,0,-56.98057888,0,0,-28.55454012,-79.35603409,0,0,0,718.6380314
"Ser_3.3",38.52853261,2666.20567987,13.01649941,0,0,0,0,-75.36250691,0,0,0,837.88665702,0,0,-9.2488863,0,0,1142.80316034,0,0,572.69019247,1591.56555324,0,0,0,334.81855899
