"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",1955960.69137916,4986070.51741958,175040.41392761,12440439.9309275,3042272.22658787,2985774.58978062,1038804.35719157,3764934.61659499,9195364.79547536,7069663.37636847,2691146.38228198,11762924.9489626,3809877.31856963,4590739.97951753,2714313.56064179,17078776.8057572,2408782.26522023,4942338.27824961,27714851.7332799,3528222.88819038,14478160.3536731,3517643.91928718,4885637.68156585,187946.26996229,3074748.79519,1221394.19840073
"Ala_1.0",0,0,11.51222983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9904.9213153,0,0,0,0,0,0,0
"Ala_1.1",2798.31261734,0,0,85226.78598275,5349.90234664,2588.53420597,0,0,66089.78430878,33535.30005897,0,73321.58798563,0,0,218.67040421,125498.9854535,406.82873749,19000.26017577,321315.29359683,7064.57697513,173178.61233452,9017.41735175,26325.12338658,0,0,10667.1135404
"Ala_2.1",0,0,0,48290.20943683,1700.29039234,2109.56592887,0,907.61426736,21041.14048152,8952.3565444,3030.62041133,31884.69723887,0,1549.00500815,812.03782889,45907.61374124,1853.908743,3485.24565101,114683.47585259,0,52321.70066907,1054.62776267,13189.50977936,195.30223804,1073.19789836,763.0802646
"Ala_2.2",0,1029.94369244,0,27530.74861848,1434.77125108,1944.22649444,0,0,13872.28444284,6779.65335196,2683.00445353,23857.99809851,0,3789.10642797,0,41927.16761227,0,3168.16365733,61546.14186451,0,24017.57754817,2182.97727988,5516.72597694,0,1442.39784714,1203.5228283
"Ala_3.2",0,0,0,231077.49300948,3626.51788334,9407.31427256,562.87570378,3543.78591731,149895.86438319,23990.34808681,10907.42313485,161234.87762102,2599.58865013,5982.23166608,3615.72258165,319024.28715793,3143.734173,12605.85497069,560331.19649721,0,256495.46116021,5978.80716651,75449.37318651,0,4610.56281318,10931.81601799
"Asp_0.0",21850704.8647731,29925973.9582582,22444460.1193907,25413304.050527,110916009.267253,63176998.8545811,15200480.927418,25294550.2932815,26007072.8367542,94171729.4956444,50351593.0720721,15081727.1701725,17931817.3440634,29569685.5541178,19831877.4599907,36694910.988845,92152915.6224717,59020617.3509902,46907734.111954,32894854.8180377,38951232.3765087,102246984.988335,16744279.7716089,23513243.9345997,33013544.514236,22206952.6048997
"Asp_1.0",64334.15121083,113817.49551946,49979.60024304,2676476.04310675,10223553.8552921,6683534.27635479,53696.42306899,108876.58969882,112439.94331869,11907935.5804713,5468059.60917652,1350115.86695293,52083.1433129,153753.3298266,54536.43410997,189386.86602527,7345369.59521824,6574635.72787338,5069016.68420765,157070.89369934,4753140.63581826,9434182.08511113,62591.85349913,108192.02209216,176850.3602581,85211.57423639
"Asp_1.1",88952.75471019,247407.74830169,150487.5902832,8152716.77666588,28568897.080938,20275626.5184508,96696.05070418,259667.49612351,178290.61244387,34710645.1609547,16806120.5588813,4609861.28989488,90207.36924387,264835.18062601,131665.14859262,343937.84335593,21548140.5051533,20045426.4543245,16494543.6110753,401068.05334744,15171073.3966822,27444286.8422675,73107.48905411,192898.59362385,364942.56275475,189361.52738071
"Asp_2.1",0,0,309.2796145,8768166.39988513,15246317.0554948,16261801.4540237,20466.84569381,18420.64425089,61017.30370883,28231881.7189712,13830593.7937532,4910640.06768632,17529.65455992,8789.38830196,18542.04807596,99841.28177625,12030801.9777288,16421807.3130576,16929387.4872956,0,14856420.621464,15430498.5987273,39391.99522717,36324.78566953,34188.8697662,37604.44340281
