"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",0.998571384937284,0.999793478454972,0.999934235343291,0.969442957669436,0.99603472155779,0.994653370861028,0.999458443862799,0.998819064918039,0.973439332513537,0.989744019611973,0.993861715074259,0.975915227469683,0.999318136551802,0.997540157601464,0.998291099968609,0.96977150773046,0.997761369669155,0.992318286685581,0.962901898587919,0.998001696596178,0.966230146442435,0.994843195705295,0.975933303536133,0.998961940012747,0.997687719759683,0.981071249082589
"Ala_1.0",0,0,6.57646567090385e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000344128398436054,0,0,0,0,0,0,0
"Ala_1.1",0.00142861506271601,0,0,0.00664144579568876,0.0017515488744324,0.000862320378225977,0,0,0.00699639404791843,0.00469490001323207,0,0.00608315147192582,0,0,8.04242816728093e-05,0.00712611574740279,0.000168515853092967,0.00381485535038647,0.0111635129506467,0.00199830340382214,0.0115574349136304,0.00255026276140003,0.00525858983149712,0,0,0.00856823981879803
"Ala_2.1",0,0,0,0.00376309871056357,0.000556672165199757,0.000702761310041925,0,0.000240785704440908,0.00222745635450296,0.00125331870550893,0.00111923216796161,0.00264532518006231,0,0.00033658946201475,0.000298657512961415,0.00260673795907576,0.000767922677514475,0.000699764524073305,0.00398446788378514,0,0.00349179752569649,0.000298264769762926,0.00263467794584134,0.00103805998725282,0.000348228891329481,0.000612935700301872
"Ala_2.2",0,0.00020652154502826,0,0.00214538155529385,0.000469741652663151,0.000647681657895733,0,0,0.0014685472092549,0.000949142979363682,0.000990854836174348,0.00197938724784027,0,0.00082335001332904,0,0.00238071924076627,0,0.000636101083209273,0.00213830827681951,0,0.00160286299534411,0.000617379172849295,0.00110199670100242,0,0.000468026077886619,0.000966716270640332
"Ala_3.2",0,0,0,0.0180071162690182,0.00118731574991505,0.00313386579280868,0.000541556137200906,0.000940149377520533,0.0158682698747863,0.00335861868992222,0.00402819792160485,0.0133769086304884,0.000681863448197446,0.00129990292319215,0.00132981823675642,0.0181149193222954,0.00130219180023788,0.00253099235674986,0.0194676839023938,0,0.017117758122894,0.00169089759069242,0.0150714319855257,0,0.00149602527110059,0.00878085912767023
"Asp_0.0",0.987204459316674,0.980899785373674,0.983771313201169,0.255015269741832,0.488578234640726,0.335625695235866,0.972751693382282,0.969836131451571,0.957716042574589,0.311409003101806,0.324672510406709,0.260844890461771,0.977689454634909,0.972301173596943,0.974991464559145,0.95286793636964,0.505540741683764,0.318684274164121,0.252982410631415,0.976677959090685,0.241008538442553,0.464425808015727,0.961518909810751,0.966069520079637,0.965786529964608,0.959701929248768
"Asp_1.0",0.00290658637122844,0.00373065742430077,0.00219067407738118,0.0268576749695113,0.0450341292241905,0.035506052500176,0.00343629170144973,0.00417451385119861,0.00414062506066816,0.0393774051721817,0.0352586389436319,0.0233508285524839,0.00283970882617311,0.00505566901485101,0.00268116611107469,0.00491786646545814,0.0402958882855192,0.0355000186184205,0.027338179611087,0.00466357674291061,0.029409787771987,0.0428519006046495,0.00359425735596957,0.00444519757247173,0.0051736248945644,0.00368252743381569
"Asp_1.1",0.00401884317516792,0.00810941717544143,0.0065960764271394,0.0818101913783657,0.125844243708814,0.107713588330801,0.00618804414906414,0.00995609398009462,0.00656559009350063,0.114781872059527,0.108367680526801,0.079729513048394,0.00491834106648912,0.00870822777134905,0.00647303293985643,0.00893113879299546,0.11821072463414,0.108236112508225,0.0889582386357781,0.0119080728571891,0.093870155136458,0.124657319661695,0.00419810431580927,0.00792546754861036,0.0106761214678817,0.00818350119379567
"Asp_2.1",0,0,1.35561475252485e-05,0.0879860530988928,0.0671590938130308,0.0863902768055996,0.00130977163827338,0.000706278868451514,0.00224697531334655,0.0933577644679398,0.0891811625702848,0.0849316100271405,0.000955762490649085,0.000289009923543298,0.000911579785926874,0.0025926089903735,0.0659996540943776,0.0886702304874653,0.0913034350972396,0,0.0919232589576871,0.0700883432466693,0.0022620350843827,0.00149244691019091,0.00100016979033172,0.00162512423582334
