"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",-0.00047329,-0.00046146,-0.00150722,-0.00021054,-0.00020496,-0.0001901,-0.00066835,-0.00047495,-0.00013854,-5.65e-05,-0.00037891,-0.00013128,-0.00054035,-0.00038645,-0.00019889,-0.0001357,-0.00026167,-0.0001943,0,-0.00029531,-8.766e-05,-0.00011194,-0.00022183,-0.00454925,-0.00062255,-0.00023285
"Ala_1.0",-Inf,Inf,-3.0503028,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Ala_1.1",-0.07224162,Inf,Inf,0,0,0,Inf,Inf,0,0,Inf,0,-Inf,Inf,-0.41548619,0,-0.06443251,0,0,-0.01182409,0,0,0,-Inf,Inf,0
"Ala_2.1",Inf,-Inf,Inf,0,0,0,Inf,0,0,0,0,0,Inf,0,0,0,0,0,0,Inf,0,0,0,-0.01756765,0,0
"Ala_2.2",Inf,-0.00657298,Inf,0,0,0,Inf,Inf,0,0,0,0,Inf,0,Inf,0,Inf,0,0,-Inf,0,0,0,Inf,0,0
"Ala_3.2",Inf,Inf,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-Inf,0,0,0,Inf,0,0
"Asp_0.0",5.2e-07,7.6e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64e-06,0,0,0,0,0,0
"Asp_1.0",-0.00394076,-0.00446634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00845525,0,0,0,0,0,0
"Asp_1.1",-0.0011096,-0.00079993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00196658,0,0,0,0,0,0
"Asp_2.1",Inf,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-Inf,0,0,0,0,0,0
"Asp_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inf,0,0,0,0,0,0
"Asp_3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_0.0",1.12e-06,0,0,-1.37e-06,-5.7e-07,-1.12e-06,1.13e-06,-6e-08,-1.5e-07,-1.14e-06,-1.11e-06,-1.35e-06,-1e-08,-6e-08,-5e-08,-1.7e-07,-5.8e-07,-1.19e-06,-1.39e-06,2.6e-07,-1.55e-06,-6.3e-07,-1.3e-07,-4e-08,-9e-08,-1.3e-07
"Glu_1.0",-0.00352541,0,0,0.00046799,0.00016427,0.00030615,8.844e-05,0.00023126,0.00040285,0.0002836,0.0003196,0.00050386,5.857e-05,0.00023533,0.00027085,0.00038718,0.00017425,0.00032205,0.00044563,-0.0015624,0.00044972,0.00018667,0.00038162,0.00011086,0.00029266,0.00044705
