"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",-925.7332506,-2300.8770748,-263.82524078,-2619.20067453,-623.55055283,-567.60636446,-694.28448963,-1788.14470024,-1273.94159489,-399.4469131,-1019.69729333,-1544.18204868,-2058.68091038,-1774.08630614,-539.85221685,-2317.50947446,-630.30082783,-960.28864141,0,-1041.91959773,-1269.1217449,-393.75523527,-1083.7615043,-855.01541231,-1914.18063055,-284.39665492
"Ala_1.0",20513.01862657,31103.46532087,-35.11578692,58275.85346473,13873.6756592,12628.94654941,6573.13126261,21586.05010664,28344.53825092,8887.48617126,19122.961108,34357.24786836,26371.68570304,28396.43726502,11943.42508835,51563.38109177,14004.24491119,21365.92308284,0,23181.16633791,28237.29909424,8760.84929828,24113.13009695,7467.36478026,20164.01456623,6327.67773353
"Ala_1.1",-202.15462814,12756.43640141,3644.48533803,0,0,0,5551.7377231,11404.33197912,0,0,2265.21065911,0,12214.39584824,7038.20603013,-90.85453357,0,-26.21299784,0,0,-83.53218962,0,0,0,7251.43013996,14250.1344233,0
"Ala_2.1",1999.02297168,211.85259356,492.62606672,0,0,0,169.24742654,0,0,0,0,0,306.51512065,0,0,0,0,0,0,1828.73121053,0,0,0,-3.43100041,0,0
"Ala_2.2",1852.34808925,-6.7698002,967.62193912,0,0,0,902.5017681,1812.52696227,0,0,0,0,1360.96984159,0,1516.40958227,0,437.50861448,0,0,-17.79586322,0,0,0,1038.96540296,0,0
"Ala_3.2",492.70131285,150.62453524,43.55397035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893.60308584,0,0,0,57.26518745,0,0
"Asp_0.0",11.39467925,22.84761728,0,0,-4e-08,-1e-08,0,0,-1e-08,-1e-08,-2e-08,0,0,0,0,0,0,-1e-08,-1e-08,53.94443814,0,-1e-08,0,0,-1e-08,0
"Asp_1.0",-253.52569006,-508.34760776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1328.07372309,0,0,0,0,0,0
"Asp_1.1",-98.70238999,-197.90942613,0,0,0,-1e-08,0,0,0,0,0,0,0,0,0,0,1e-08,-1e-08,0,-788.73083999,1e-08,0,0,0,0,0
"Asp_2.1",2196.07686858,4403.38185186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11503.97019851,0,0,0,0,0,0
"Asp_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596.66214803,0,0,0,0,0,0
"Asp_3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asp_4.3",0,0,0,0,-1e-08,0,0,0,0,0,0,0,0,0,0,0,0,-1e-08,-1e-08,0,0,0,0,0,0,0
"Glu_0.0",13.98701833,0,1e-08,-61.33353932,-74.565368,-86.40170922,10.80538187,-0.85457068,-2.06875374,-119.42713976,-71.17427201,-53.17931497,-0.14770796,-0.97720978,-0.59809896,-3.22356303,-66.93691143,-89.09175675,-94.29909945,5.23801619,-83.66659495,-74.53427185,-1.14653201,-0.62861932,-1.70194862,-1.58942629
"Glu_1.0",-106.63973064,0,0,1364.63936739,1659.04067699,1922.39311686,5.13631882,19.01375374,46.02869522,2657.19177783,1583.59055388,1183.21211401,3.28642543,21.74240961,13.3073911,71.72260196,1489.31148328,1982.24527568,2098.10594296,-116.54313719,1861.53824554,1658.34880429,25.50974121,13.98645324,37.86747221,35.36390875
"Glu_1.1",-70.70886231,0,0,218.92377516,266.15342984,308.40203539,-38.5687018,3.05030241,7.38420418,426.28292078,254.04926066,189.81810798,0.52722842,3.48805004,2.13485289,11.5061775,238.92443681,318.00388395,336.59095924,-41.41032925,298.63932557,266.04243542,4.09242836,2.24379218,6.07493098,5.67329405
"Glu_2.1",843.0646648,0,0,-4870.94019359,-5921.77545914,-6861.78497012,-18.33356299,-67.86764295,-164.2947045,-9484.57339135,-5652.46398676,-4223.35422928,-11.73055834,-77.60730008,-47.49936702,-256.00646809,-5315.94451842,-7075.4211095,-7488.9738727,921.35829951,-6644.5697514,-5919.3058905,-91.05440366,-49.92320965,-135.16405639,-126.22784352
"Glu_2.2",-1572.32957539,0,0,10488.94819624,12751.78785862,14775.97839942,-1847.8811399,146.14430948,353.78768286,20423.8186082,12171.85996582,9094.45445123,25.26026061,167.11741837,102.28382616,551.27726374,11447.20822915,15236.01656654,16126.54967453,0,14308.23314161,12746.46995765,196.07404014,107.503262,291.05854909,271.81555489
"Glu_3.2",0,0,0,-233373.64487828,-283720.65107058,-328757.83836487,-878.38697412,-3251.63491541,-7871.59203349,-454419.34708392,-270817.55692068,-202346.88395389,-562.02766757,-3718.27568588,-2275.76196166,-12265.63254673,-254694.4324766,-338993.44844076,-358807.34716626,0,-318350.74952743,-283602.33053841,-4362.54546769,-2391.8916958,-6475.90141573,-6047.75479798
