"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",1955932.11675483,4986071.17032375,175040.29637191,12439551.2540737,3042216.97628156,2985747.42780733,1038804.27915439,3764934.90570769,9194682.34144362,7069317.61043469,2691140.048836,11762164.7227835,3809876.93840475,4590735.28158527,2714310.92034321,17077479.9143687,2408777.22437621,4942143.03581561,27711487.2985305,3528150.7491425,14476371.4550479,3517551.60667327,4885363.69133777,187946.76372679,3074749.52989129,1221285.09638576
"Ala_1.0",0,0,11.62978553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8882.05343732,0,0,0,0,0,0,0
"Ala_1.1",2826.88728597,0,0,85118.38179513,5366.96122488,2563.11373425,0,0,66311.70295508,33656.56411629,0,73306.13997919,0,0,217.7897964,125543.53132037,398.75252571,19109.21640101,322261.60075844,7136.71603259,173985.83760228,9060.39836543,26375.69979203,0,0,10749.65193402
"Ala_2.1",0,0,0,43760.28975437,1499.4719098,1810.61698579,0,475.3520671,18008.34967419,8527.1711367,2614.48550443,28760.43392484,0,1045.62082132,617.59147605,39575.34152902,1665.22622226,3046.77903208,105359.18049405,0,47685.35715604,850.59131503,11601.48126846,31.35319107,603.61836483,477.95555643
"Ala_2.2",0,759.36784412,0,25685.28940887,1425.82175534,1885.54799155,0,0,12593.74723801,6668.43250879,2566.25379187,22666.01777813,0,3637.04602513,0,39461.02580012,0,3100.89385535,56970.30549608,0,21836.44968209,2165.09764948,4842.65981603,0,1096.36298311,1114.02953415
"Ala_3.2",0,0,0,238274.90385506,3749.83213916,9708.53185551,562.88875942,3655.76661853,154557.26603623,24739.79735495,11264.94846951,166251.86694722,2645.93387853,6204.01855662,3717.72685841,328938.1491405,3245.37100705,13013.03517748,577672.33896004,0,264455.41720731,6170.83733303,77803.5124492,0,4797.05961051,11275.18933069
"Asp_0.0",21849139.8794943,29922287.2041642,22442414.2078149,25304594.9595263,110523117.163529,62905224.9247006,15198950.6201842,25290793.3188325,26004117.9008038,93701696.9943027,50127064.1582115,15021921.5850266,17930368.5601375,29565415.7163148,19829982.6302506,36689489.4769006,91860426.956422,58752283.0147693,46691137.8743092,32889154.9734708,38750993.9187878,101873693.672844,16742903.5296935,23510179.4614776,33008020.1427559,22204158.8881508
"Asp_1.0",64971.32073007,114953.22111056,50487.18168343,2613845.45643076,10171097.3297989,6584717.65992498,54034.65665771,109800.86201282,112963.8655914,11739532.8304802,5381798.27575707,1313527.46533095,52435.37044014,155235.29131047,54903.67068348,190298.92720344,7296584.76099575,6473047.90146788,4947068.80070831,158641.04901968,4649242.04277041,9371752.69484817,62827.80330475,108924.33271842,178307.1323425,85698.16540297
"Asp_1.1",89774.36398368,249864.07876923,151807.2500794,7956441.37583913,28378741.126202,19955309.4155418,96828.9789995,261255.62805633,178018.76105943,34168751.7617638,16542940.7756643,4499300.14943617,90484.62903709,266740.79439836,131910.84400925,343651.12144265,21387243.3874767,19728963.0546506,16126625.8528176,404926.25877149,14843802.8897,27233367.5017169,72402.25801356,193258.29694946,367430.44452404,189704.80748145
"Asp_2.1",0,0,246.19429168,8855410.23684783,15479717.0687921,16465236.8930241,20697.68147836,18329.73323329,61300.42287266,28576403.3210355,14005563.0592163,4957994.46831283,17665.3472465,8486.82534499,18623.18328409,100379.17281329,12218818.8421488,16630431.768685,17100146.9133318,0,15005316.5221888,15670485.6384994,39610.81277916,36661.71131331,34231.46261303,37553.62122362
"Asp_2.2",0,2264.74399563,9955.20935812,9294551.57753931,16003391.4005761,17698692.8687621,31201.70907016,42247.49196487,70419.9992821,29776750.8079718,14374931.2239784,5254587.36386147,22030.77113642,34095.23754257,44171.67212897,135137.64886364,12665561.9404278,17311744.512448,17775016.614789,0,16165012.9854079,16371445.0143737,50419.77621673,59784.30076393,42751.31166723,57895.66442576
"Asp_3.2",0,0,1658.93347921,4014573.66591385,3334971.28685139,5643821.86902166,6680.94360044,19003.90350164,39451.38445847,10352295.7911778,4705905.49651697,2309911.24734267,8634.66467149,19318.8909288,11753.52537302,61592.23123843,2431923.2664705,5520721.55627267,7722035.09227018,0,6834228.28009383,3142067.83949763,24063.80477373,15246.41031816,25697.66096516,34241.2741978
"Asp_3.3",26295.56313305,70912.44835106,41033.37906738,3833259.69258929,3518434.78567976,5891293.45136763,40973.42161215,63033.71268577,128468.91567169,10213214.9653651,4938474.61155118,2444696.87422671,57650.2591577,61234.4976159,47387.90444502,120344.60037428,2534190.45335256,5786056.5596248,7721635.36385705,64580.26367095,6973334.52189975,3319192.55756673,85160.2377249,87188.37943439,70891.54913845,104432.71252798
"Asp_4.3",105234.69482843,149645.52532134,117110.60240061,37781373.1452481,39608441.4468568,53092183.8245701,176902.32997754,276797.41951841,560565.44234485,83876646.7934662,45007575.6214434,22016818.1600939,161745.80687533,301536.79962306,201831.7864068,869071.97443357,31891086.1496591,54997663.6889269,67335291.1558752,166159.27714858,58395716.4162667,43175842.486881,337016.85504936,327837.74496666,455736.13219405,425741.75244776
"Glu_0.0",12486015.7788284,16927560.2201867,13806443.9014945,44607161.0316782,130444024.158336,76767946.7859764,9590640.76321169,15243137.471194,14040029.83855,104127914.242181,63866540.7525814,39237999.6989945,10623435.9733601,16563626.1081768,10886542.643534,19199423.6309601,114668272.421651,74486291.1958271,67794588.824403,19929197.7228218,53892272.0080186,117763979.039641,8724488.21342999,15243414.9962477,19441739.4366391,12241095.379853
"Glu_1.0",30567.55478183,66317.63180947,44608.78185524,2852075.09480186,10063677.6432601,6204563.09985216,57788.00034292,80928.93679264,112481.60701826,9268798.65130527,4894578.52498659,2297809.63717538,55803.24149512,91324.19809029,48306.4059518,182486.7655884,8513673.14155595,6075672.73718445,4606029.11854604,75342.87615575,4049354.72884446,8842499.28266534,65755.85467213,125597.11622499,127427.56139047,77573.46363039
"Glu_1.1",53096.14692659,103564.50090618,65533.57217389,14525812.575137,32032310.2528914,24665062.1521501,201103.55527352,430992.94600009,640045.9265774,34872597.2127733,19520550.0761589,11766681.4451888,178573.2929438,444443.3914866,288060.00554077,905995.43040966,26399232.186397,24828971.3110653,23092688.8134095,95677.05764734,21180674.6386416,28627219.6868918,355535.74459702,360062.74298373,749300.47503995,472556.11272807
"Glu_2.1",0,0,963.95800104,9100383.26244446,13517426.3807055,13478807.3060692,91714.33380605,216542.55304205,298866.71703801,19041389.658025,10774780.6787178,7237861.99793421,92068.78970735,204732.8264124,135394.55937794,468511.00642224,11745075.9913811,13817089.9336979,14560287.0623342,0,12836136.4621969,12823640.0954404,179732.70097256,190166.45979022,331809.7949104,238005.63424465
"Glu_2.2",9477.66433952,10962.16543113,44008.00871024,5550975.83609396,5813599.49449688,6125449.07369649,50994.08716828,143713.83518406,228720.86798626,8906273.66411624,4794223.42202083,4679918.78491523,53878.14590649,127700.59486319,84123.11055868,398683.99595007,4610879.14867135,6160069.50356909,8936398.64314011,27811.07545936,7561605.79682499,4887924.66721646,143641.39614481,104971.32774733,198217.74915399,222124.05447244
"Glu_3.2",0,0,13626.32499296,39407551.3017007,36366721.6777307,46211555.6596959,357330.1656513,923387.68112525,1768622.26268298,64637992.3187894,37573423.517689,33198957.4690066,349316.36148665,982251.60005445,652082.31450374,2772179.40522008,32328374.2491197,48276277.2074872,61628922.2799627,0,52134511.7975554,36169769.1562377,1101646.27371672,748737.46045085,1554006.94098122,1443244.53960246
"Glu_3.3",0,0,2551.78021168,309924.90950886,126174.43778405,97831.29827612,0,0,0,179165.41306055,41099.95580351,166090.17142468,0,0,0,0,42791.65671787,33467.59417857,629625.61848711,0,339422.39247455,106351.36052365,0,0,0,0
"Glu_4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_4.4",78232.78792623,98869.33714558,91814.05947555,8894107.70499505,6353472.45278926,8942294.81834518,128531.95339791,286215.75872676,466314.89664214,12865752.1486213,7121663.29167285,7195815.99939926,121356.2439909,289396.54770059,186703.29213085,717078.72785107,5640554.28779749,9562891.44958858,14314998.5171878,120215.27529099,11685309.9109552,6360570.70446005,281567.34037276,243270.89837662,420980.59830067,379813.27405562
"Glu_5.4",2948972.46211402,3971779.57692886,3352998.5998552,95477645.0011464,54901154.1650535,85816573.5019663,3285479.61561573,6268698.06838247,10626774.4767627,114727482.01508,71642460.4390912,85656118.6198779,3393167.79750915,6529393.9477681,4420779.1648517,15158050.276426,49409509.603038,93492435.3306336,134029433.805415,4768311.8941538,115610189.193586,56095313.0797496,6420835.0852962,5940121.73454227,9394511.61874337,8731717.05492244
