"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",0.9985567967881,0.999847725356154,0.999933563795696,0.969386929389308,0.996057280414148,0.99468043791664,0.999458431267797,0.998903941013797,0.973378468985278,0.989697200512153,0.993926069433927,0.975858221428296,0.999305988720024,0.997634163457761,0.99832536379783,0.96970540517145,0.997800679639283,0.992315913404949,0.962785006937354,0.997981291167157,0.966100392307597,0.994839376593079,0.97590418188271,0.999833208292624,0.997891424522816,0.981029167098329
"Ala_1.0",0,0,6.64362043039748e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308590722256959,0,0,0,0,0,0,0
"Ala_1.1",0.00144320321190014,0,0,0.00663308869248374,0.00175720563109743,0.000853883040430593,0,0,0.00701996887997853,0.0047118843883295,0,0.00608190763059959,0,0,8.01032321289829e-05,0.00712870057620412,0.000165177392552088,0.00383687388042011,0.0111963906584801,0.00201870883284354,0.0116111821588355,0.00256247585520828,0.00526883101308605,0,0,0.0086349388153817
"Ala_2.1",0,0,0,0.00341014334422099,0.000490944572388241,0.000603194121361936,0,0.000126119326120458,0.00190642147100674,0.0011937951959922,0.000965615038182076,0.00238613440288215,0,0.000227228752996487,0.000227150556108029,0.00224719471401092,0.000689795569100198,0.000611752289695225,0.00366051227168369,0,0.00318234734434877,0.000240565549052521,0.00231752123306581,0.000166791707375706,0.000195900701534423,0.000383930290169066
"Ala_2.2",0,0.000152274643846026,0,0.00200159823469407,0.000466830653780379,0.000628156850938037,0,0,0.0013332143460866,0.000933573698260797,0.000947801488676333,0.00188050586921161,0,0.000790383488957127,0,0.00224070355836229,0,0.000622617819060272,0.00197932919952568,0,0.00145728525065692,0.000612336260194602,0.000967373621390491,0,0.000355817997002313,0.000894873334035108
"Ala_3.2",0,0,0,0.0185682403392927,0.00122773872858554,0.00323432807062925,0.000541568732202514,0.000969939660082883,0.0163619263176498,0.0034635462052647,0.00416051403921496,0.0137932306690103,0.000694011279975713,0.00134822430028523,0.00136738241393283,0.0186779959799723,0.00134434739906456,0.00261284260587588,0.0200701702107,0,0.0176487929385621,0.0017452457424654,0.0155420922497473,0,0.00155685677864692,0.00905709046208561
"Asp_0.0",0.987067062802203,0.980739383175925,0.983681637764089,0.253924400780613,0.486847563615306,0.334181900456419,0.97265376113078,0.969692082045053,0.957607225566111,0.309854685354389,0.323224718929691,0.259810523141165,0.977610462702636,0.972160773590162,0.974898308827996,0.952727153371243,0.503936175704305,0.317235387030578,0.251814261397813,0.976418491281974,0.239769570339142,0.462730240475464,0.961439880095149,0.965943611889261,0.965624917932315,0.959581194369212
"Asp_1.0",0.00293517507202185,0.00376773173777861,0.0022129220637571,0.0262291944336157,0.0448030609467896,0.0349810920189337,0.00345793688938869,0.00420995202298653,0.0041599186071549,0.0388205269283129,0.0347024160347303,0.0227180162002768,0.00285891316656662,0.0051043984071431,0.00269922050340684,0.00494155023111678,0.0400282596324406,0.034951490408865,0.0266804908350706,0.00470976082736489,0.0287669206455442,0.0425683336081849,0.00360780646969817,0.00447528542013289,0.00521624166764089,0.00370355609176065
"Asp_1.1",0.00405568906881647,0.00818959930495728,0.00665391891441728,0.0798406223034777,0.125006616989627,0.106011912884252,0.00619655086485014,0.0100169856564873,0.00655557910201476,0.112989926177509,0.106670667278819,0.0778173097880715,0.00493345799132572,0.00877088756398811,0.00648511202145547,0.00892369338883888,0.117328059520724,0.10652735364821,0.0869739861319712,0.0120215155113907,0.0918451859201661,0.123699281322763,0.00415760731940678,0.00794024638088392,0.010748902578976,0.00819833647640555
"Asp_2.1",0,0,1.07910317404097e-05,0.0888615186947131,0.068187205842603,0.0874710195053344,0.00132454392672866,0.000702793184786499,0.00225740123533676,0.094497034137364,0.0903093819534145,0.0857506231311536,0.000963160809412895,0.000279061142649763,0.000915568622887074,0.00260657656826695,0.0670310931807146,0.0897967055560746,0.0922243719218513,0,0.0928445423327246,0.0711784105046448,0.00227460040137759,0.00150628989889448,0.00100141581147407,0.00162292788878757
"Asp_2.2",0,7.42297410010969e-05,0.000436350410209871,0.0932681769309517,0.0704939592087764,0.0940237130629026,0.00199674704123959,0.00161984078269664,0.00259323159486271,0.0984663677226798,0.0926911077385112,0.0908803234105941,0.00120117510647568,0.00112110896133399,0.00217160495092644,0.0035091605075671,0.0694818765694725,0.0934754819519161,0.0958640736543232,0,0.100020098224081,0.0743623050790722,0.00289529134025445,0.00245630891541289,0.00125065761719816,0.0025020353663618
"Asp_3.2",0,0,7.27133180352193e-05,0.0402851029284321,0.0146903443134734,0.0299826146442498,0.000427545630172712,0.000728642020879845,0.00145280570408619,0.0342331831542601,0.0303441864582491,0.03995089750568,0.000470784440178439,0.000635237742991802,0.000577836714362232,0.00159938423712648,0.0133412629476766,0.0298093648403748,0.041646416253178,0,0.0422863986857184,0.0142718866327758,0.00138183329643252,0.000626416853822842,0.000751765833067724,0.00147978056529684
"Asp_3.3",0.00118794077980292,0.00232424180614223,0.00179854899522973,0.0384656688650444,0.0154984897920774,0.0312972991366164,0.00262208580272181,0.00241681988076583,0.00473089540576383,0.0337732678389202,0.0318438172086437,0.0422820722514967,0.00314324250173994,0.00201349364216207,0.00232972407307494,0.00312502490966449,0.0139022894611047,0.0312420521873501,0.0416442604411825,0.00191726919317461,0.0431471106431768,0.015076421743179,0.00489021803189003,0.00358223799540206,0.00207387919732393,0.00451319356538623
"Asp_4.3",0.00475413227715529,0.00490481423419609,0.00513311750252146,0.379125315063152,0.174472759291347,0.282050448291292,0.0113208287141186,0.010612884406344,0.0206429427846695,0.277365008686565,0.290213704397941,0.380790234571563,0.00881880328166492,0.00991503894956883,0.00992262428589107,0.0225674567861762,0.174950982983562,0.296962164376631,0.36315213936461,0.00493296318609547,0.361320173209447,0.196113120633916,0.0193527630457913,0.0134696026461903,0.0133322193620041,0.0183989756767898
"Glu_0.0",0.800059325989728,0.799259526598312,0.792446840699277,0.202093248863376,0.450399393808532,0.286116517607098,0.696812823333106,0.646070388842347,0.498193928142725,0.282474726613617,0.290000171464689,0.20496532892749,0.714536043686482,0.656430545703623,0.651811051744832,0.482368379154066,0.452593201210478,0.269162862556832,0.205691851596699,0.796640344948671,0.192962057147968,0.433470125448786,0.50508804943804,0.664017573326328,0.603443508337001,0.514199310429974
"Glu_1.0",0.0019586598086295,0.00313128403123019,0.00256040501818151,0.0129213585572394,0.034748041079344,0.0231245990250646,0.00419861619967923,0.00343011993174152,0.00399127738962273,0.0251440872903177,0.0222249176919156,0.0120029387764249,0.00375334566921599,0.00361925539714767,0.00289225425375586,0.00458481707711256,0.0336032844990252,0.0219549858053704,0.0139749008634892,0.00301172057625826,0.0144987730055883,0.0325478071019281,0.00380681314055212,0.00547112916318501,0.00395516743524398,0.00325855001277591
"Glu_1.1",0.00340221158416037,0.00488994946052248,0.00376142275298823,0.0658093585826991,0.110601717581764,0.0919274512995699,0.0146112798500379,0.0182673534721311,0.0227112761169371,0.0946012165486604,0.0886373804258736,0.0614649511009582,0.0120109025524416,0.017613668414303,0.0172470453958743,0.0227623263952035,0.104197200781095,0.0897217042913018,0.0700642632803579,0.00382454955126306,0.0758377110069877,0.105372157175072,0.0205830819356921,0.0156846736049718,0.0232572043736254,0.0198501865857662
"Glu_2.1",0,0,5.53281842841695e-05,0.0412293895615374,0.0466732047482003,0.0502359326954685,0.0066635510032499,0.00917801415287198,0.0106049335695474,0.0516548456495933,0.0489252777354518,0.0378080120423769,0.00619257920972672,0.00811373548808812,0.00810649193581033,0.0117709207905235,0.0463575619405235,0.0499292879139572,0.0441765701004286,0,0.0459599717230148,0.0472017413661737,0.0104052910765262,0.00828383083377601,0.0102988967316355,0.00999766190928226
"Glu_2.2",0.00060729490317405,0.000517594682222947,0.00252592251246687,0.0251487589690287,0.0200732973784115,0.0228297385969142,0.00370500102447007,0.00609121669045196,0.00811589070540439,0.0241606416178282,0.0217692331233687,0.0244462281579729,0.00362386306216989,0.00506088284203297,0.00503671137520117,0.0100165794878856,0.0181990406781238,0.0222599610547207,0.0271134380396459,0.001111706806038,0.0270744386074547,0.017991658705497,0.00831585198151303,0.00457265031075927,0.00615239260632868,0.00933054045372613
"Glu_3.2",0,0,0.000782108576839533,0.178536358022318,0.125567648684095,0.172231900579814,0.0259620027208888,0.0391371815234369,0.0627574786221184,0.175347785864962,0.170610450076784,0.173419524182806,0.0234951414549433,0.0389274636864508,0.0390421893486392,0.0696485327957432,0.12759939678464,0.174450637266826,0.186984940177284,0,0.186668371364349,0.133135059646128,0.063777765978952,0.0326157118775205,0.0482341306703505,0.0606249133771818
"Glu_3.3",0,0,0.000146464229408548,0.0014041183168293,0.000435657291767449,0.000364620281610267,0,0,0,0.000486033946240259,0.000186623450867382,0.000867595873358324,0,0,0,0,0.000168897747302102,0.000120938139184716,0.00191031263003565,0,0.00121530677133503,0.000391462125887556,0,0,0,0
"Glu_4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_4.4",0.0050128778216577,0.00466826043293754,0.00526984079914301,0.0402948558095138,0.0219373801121162,0.0333282100141865,0.00933855365318932,0.0121310673004723,0.0165466350699443,0.0349017825557113,0.0323374892606099,0.037588378728092,0.00816246369586605,0.0114690305426578,0.0111785048010915,0.0180159628918028,0.0222631462723051,0.0345563619233563,0.0434323535500888,0.00480542868347607,0.0418394206593101,0.0234122301545202,0.0163008184841621,0.0105971104008336,0.0130666296608016,0.0159544319810614
"Glu_5.4",0.188959629892651,0.187533384794775,0.192451667227411,0.432562553317459,0.189563659315769,0.319841029900274,0.238708172215379,0.265694658086548,0.377078580383701,0.31122887991307,0.32530845677044,0.447437042210521,0.228225660669154,0.258765417925697,0.264685751144795,0.380832481407663,0.195018270086507,0.337843261048452,0.40665136976197,0.190606249434294,0.413943949713993,0.206477758276008,0.371722327964563,0.258757320482626,0.291592070185013,0.366784405250233
