"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",1730000,4410000,155000,1.1e+07,2690000,2640000,919000,3330000,8130000,6250000,2380000,10400000,3370000,4060000,2400000,15100000,2130000,4370000,24500000,3120000,12800000,3110000,4320000,167000,2720000,1080000
"Ala_1.0",57200,167000,7000,436000,107000,106000,34700,128000,337000,272000,87800,433000,125000,154000,95900,627000,81700,175000,1110000,117000,547000,131000,170000,0,102000,42200
"Ala_1.1",125000,299000,7300,854000,195000,189000,59400,224000,634000,472000,166000,801000,226000,280000,170000,1180000,151000,326000,2020000,227000,1060000,228000,329000,4500,178000,85900
"Ala_2.1",3610,13800,0,82000,10300,10400,2750,11400,47500,29300,10300,64800,10400,14300,8370,94500,8460,17800,195000,8370,94900,11200,26700,708,9610,4550
"Ala_2.2",9110,28500,0,98200,18400,18400,4840,19000,66900,47000,17300,90500,19700,28800,13500,139000,12900,31200,226000,19900,111000,21900,33400,0,18300,8410
"Ala_3.2",0,1130,0,218000,4230,9530,772,4220,141000,24500,10900,153000,3320,6840,4020,3e+05,3570,13100,528000,0,242000,6500,71100,0,5090,10400
"Asp_0.0",18400000,25200000,18900000,21400000,93400000,53200000,12800000,21300000,21900000,79300000,42400000,12700000,15100000,24900000,16700000,30900000,77600000,49700000,39500000,27700000,32800000,86100000,14100000,19800000,27800000,18700000
"Asp_1.0",882000,1230000,892000,3240000,12900000,8080000,621000,1050000,1080000,13700000,6560000,1720000,723000,1250000,797000,1550000,9740000,7830000,6090000,1380000,5520000,11900000,687000,982000,1400000,913000
"Asp_1.1",2200000,3120000,2310000,9410000,35100000,23400000,1560000,2680000,2680000,38700000,19200000,5390000,1820000,3100000,2040000,3860000,27300000,22800000,18600000,3540000,16700000,33300000,1690000,2450000,3520000,2320000
"Asp_2.1",103000,147000,109000,8230000,15700000,15700000,93000,147000,184000,27200000,13300000,4600000,102000,162000,113000,278000,12300000,15800000,15900000,163000,1.4e+07,15700000,116000,152000,205000,145000
"Asp_2.2",271000,386000,293000,9010000,17500000,17700000,219000,365000,392000,29700000,14400000,5110000,244000,410000,289000,590000,13800000,17300000,17300000,429000,15700000,17600000,253000,353000,468000,336000
"Asp_3.2",14700,21300,18200,5580000,6110000,8460000,22500,42500,72100,14900000,7080000,3200000,24600,45100,30400,112000,4660000,8400000,10600000,23900,9360000,6050000,44600,41700,59600,59300
"Asp_3.3",45100,92900,59700,4420000,5010000,7130000,54300,86200,146000,12200000,5940000,2740000,70100,88400,65800,159000,3750000,7020000,8750000,92200,7890000,4880000,95800,106000,103000,120000
"Asp_4.3",91200,131000,102000,32600000,34200000,45900000,153000,240000,485000,72700000,38900000,1.9e+07,141000,261000,175000,749000,27500000,47500000,58200000,145000,50500000,37200000,292000,284000,393000,369000
"Glu_0.0",10400000,14100000,11500000,37300000,1.09e+08,64200000,7990000,12700000,11700000,87100000,53400000,32800000,8850000,13800000,9070000,1.6e+07,95800000,62300000,56700000,16600000,45100000,98400000,7270000,12700000,16200000,10200000
"Glu_1.0",493000,689000,554000,4130000,13400000,8170000,408000,640000,622000,11800000,6570000,3450000,445000,698000,449000,875000,11500000,7980000,6510000,809000,5510000,11900000,383000,677000,837000,525000
