"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26"
"Ala_0.0",-925.73325326,-2300.2313176,-263.82524078,-2637.71626882,-624.16710385,-568.37185276,-694.35296078,-1787.84285103,-1281.79022708,-402.9669498,-1024.81785195,-1556.39011692,-2059.01456137,-1777.81067437,-540.18098013,-2334.71426166,-631.04046811,-961.56327736,0,-1041.9195975,-1289.3175831,-394.12137268,-1088.72957499,-854.57609131,-1913.3732259,-284.634042
"Ala_1.0",20513.01862645,31103.49434434,-35.11578692,58687.81581249,13887.39359878,12645.9782663,6573.1790573,21590.6441845,28519.16623735,8965.80515802,19147.12512534,34628.87104052,26371.90983833,28406.1794511,11949.26818327,51946.17866344,14019.39373335,21394.2830702,0,23181.16633792,28686.64599575,8768.99566536,24223.66708744,7467.66485382,20169.88133944,6332.95947273
"Ala_1.1",-202.15458605,12770.06106523,3644.48533803,26.64360591,6.30471993,5.74113138,5551.83462437,11409.2642369,12.94737955,4.07037434,2336.15039423,15.72111656,12214.8505115,7113.45041352,-87.43793747,23.58297874,-21.608196,9.71276301,0,-83.53218128,13.02341347,3.98102505,10.99727142,7251.74154146,14276.06068351,2.87509211
"Ala_2.1",1999.02297357,212.46495231,492.62606672,-592.80638124,-140.27674109,-127.73718888,179.32695886,-333.11040021,-288.07246443,-90.56371305,-216.89017678,-349.78667111,353.89527257,-358.57812765,-119.76170836,-524.70901781,-141.32752362,-216.10392805,0,1828.73121091,-289.76417962,-88.57573783,-244.68357235,-152.05019978,-347.69401348,-63.96930497
"Ala_2.2",1852.34803949,-264.13987694,967.62193912,-0.26899393,-0.06365247,-0.05796248,907.54322526,1845.52878294,-0.13071678,-0.04109451,-47.05540031,-0.15872044,1384.66781133,-143.41798584,1549.87363492,-0.23809383,466.81717386,-0.09806009,0,-17.7959947,-0.13148442,-0.04019244,-0.11102849,1038.98494585,-287.99575464,-0.02902694
"Ala_3.2",492.70131062,139.05707052,43.55397035,5.98497509,1.41623442,1.28963506,-14.58498053,-16.43531078,2.90838051,0.91433153,2.42670906,3.53144733,-26.3016161,4.34319472,-14.4318657,5.29746389,-3.28465403,2.18178594,0,893.60307993,2.92546007,0.89426093,2.47032612,48.36138475,4.96299685,0.6458343
"Asp_0.0",10.75191874,23.84358847,0,0,-4e-08,0,-1e-08,0,0,-3e-08,-1e-08,0,0,-1e-08,-1e-08,0,1e-08,-3e-08,-1e-08,51.29260869,0,-1e-08,0,0,-1e-08,0
"Asp_1.0",-270.12140692,-530.50744895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1356.48930452,0,0,0,0,0,0
"Asp_1.1",-164.77996102,-199.52902569,0,0,-1e-08,0,0,0,0,-1e-08,0,0,0,0,0,0,0,0,0,-971.82789389,0,0,0,0,0,0
"Asp_2.1",2218.38925186,4439.41710007,0,0,0,0,0,0,0,-1e-08,0,0,0,0,0,0,0,-1e-08,0,11535.41318981,0,0,0,0,0,0
